Date,Value
2016-07-22,0.0
2016-07-21,0.0
2016-07-20,0.0
2016-07-19,0.0
2016-07-17,0.0
2016-07-16,0.0
2016-07-15,0.0
2016-07-14,0.0
2016-07-13,0.0
2016-07-12,0.0
2016-07-11,11981181.0
2016-07-10,7992816.0
2016-07-09,15777695.0
2016-07-08,5387906.0
2016-07-07,5771194.0
2016-07-06,3239332.0
2016-07-05,8221416.0
2016-07-04,2424604.0
2016-07-03,3503734.0
2016-07-02,4585945.0
2016-07-01,4866427.0
2016-06-30,14429385.0
2016-06-29,2510851.0
2016-06-28,2681240.0
2016-06-27,5329217.0
2016-06-26,11312917.0
2016-06-25,8757642.0
2016-06-24,3478074.0
2016-06-23,6908807.0
2016-06-22,5596980.0
2016-06-21,15101130.0
2016-06-20,7635642.0
2016-06-19,5748363.0
2016-06-18,6544143.0
2016-06-17,14730902.0
2016-06-16,17994590.0
2016-06-15,19324690.0
2016-06-14,10224445.0
2016-06-13,27364975.0
2016-06-12,11752361.0
2016-06-11,5698133.0
2016-06-10,6832229.0
2016-06-09,5196892.0
2016-06-08,4488115.0
2016-06-07,15321981.0
2016-06-06,6287489.0
2016-06-05,4624714.0
2016-06-04,3931696.0
2016-06-03,3810176.0
2016-06-02,18973784.0
2016-06-01,7837589.0
2016-05-31,7814138.0
2016-05-30,8017047.0
2016-05-29,11416248.0
2016-05-28,8865579.0
2016-05-27,33532824.0
2016-05-26,4617154.0
2016-05-25,7399797.0
2016-05-24,5572541.0
2016-05-23,3294531.0
2016-05-22,4104666.0
2016-05-21,10081095.0
2016-05-20,10798186.0
2016-05-19,6120248.0
2016-05-18,6789018.0
2016-05-17,49374153.0
2016-05-16,6944948.0
2016-05-15,1754958.0
2016-05-14,8664533.0
2016-05-13,4578033.0
2016-05-12,4006492.0
2016-05-11,6684479.0
2016-05-10,7826970.0
2016-05-09,5080378.0
2016-05-08,2363593.0
2016-05-07,10981253.0
2016-05-06,3937756.0
2016-05-05,3302499.0
2016-05-04,3790173.0
2016-05-03,1960490.0
2016-05-02,2222355.0
2016-05-01,5290453.0
2016-04-30,3261839.0
2016-04-29,6624579.0
2016-04-28,4773624.0
2016-04-27,5176128.0
2016-04-26,5487133.0
2016-04-25,11814286.0
2016-04-24,5599689.0
2016-04-23,4359719.0
2016-04-22,5059349.0
2016-04-21,3447094.0
2016-04-20,4728528.0
2016-04-19,3301927.0
2016-04-18,3598068.0
2016-04-17,3861755.0
2016-04-16,2953908.0
2016-04-15,3580897.0
2016-04-14,2944643.0
2016-04-13,4386964.0
2016-04-12,8630584.0
2016-04-11,8108048.0
2016-04-10,7689017.0
2016-04-09,3069999.0
2016-04-08,3837941.0
2016-04-07,23445706.0
2016-04-06,6383802.0
2016-04-05,4958963.0
2016-04-04,4686141.0
2016-04-03,3573071.0
2016-04-02,5407403.0
2016-04-01,6837726.0
2016-03-31,8767948.0
2016-03-30,5202709.0
2016-03-29,5532458.0
2016-03-28,4290898.0
2016-03-27,3634657.0
2016-03-26,7717127.0
2016-03-25,5987045.0
2016-03-24,3816856.0
2016-03-23,2781388.0
2016-03-22,10777466.0
2016-03-21,10750102.0
2016-03-20,3146702.0
2016-03-19,4900436.0
2016-03-18,6666556.0
2016-03-17,7400183.0
2016-03-16,8914471.0
2016-03-15,6158204.0
2016-03-14,11890504.0
2016-03-13,6654725.0
2016-03-12,6126938.0
2016-03-11,4454821.0
2016-03-10,19779145.0
2016-03-09,7365703.0
2016-03-08,8911219.0
2016-03-07,14037686.0
2016-03-06,5769418.0
2016-03-05,30376001.0
2016-03-04,7118750.0
2016-03-03,14113845.0
2016-03-02,9171328.0
2016-03-01,38658151.0
2016-02-29,10405649.0
2016-02-28,8469708.0
2016-02-27,4829203.0
2016-02-26,3886889.0
2016-02-25,12516390.0
2016-02-24,5308504.0
2016-02-23,4380120.0
2016-02-22,4550824.0
2016-02-21,4901684.0
2016-02-20,7245284.0
2016-02-19,6571383.0
2016-02-18,2775066.0
2016-02-17,7998177.0
2016-02-16,10723689.0
2016-02-15,10822459.0
2016-02-14,3507691.0
2016-02-13,4608628.0
2016-02-12,5365496.0
2016-02-11,11224817.0
2016-02-10,5392430.0
2016-02-09,5034126.0
2016-02-08,3897326.0
2016-02-07,2025246.0
2016-02-06,6327037.0
2016-02-05,3232441.0
2016-02-04,7045627.0
2016-02-03,2723827.0
2016-02-02,4379448.0
2016-02-01,10845321.0
2016-01-31,5343852.0
2016-01-30,8928289.0
2016-01-29,7770506.0
2016-01-28,6253026.0
2016-01-27,8776484.0
2016-01-26,6278290.0
2016-01-25,15795921.0
2016-01-24,9234853.0
2016-01-23,48315427.0
2016-01-22,11487353.0
2016-01-21,4998951.0
2016-01-20,5760536.0
2016-01-19,6280270.0
2016-01-18,3532954.0
2016-01-17,2685074.0
2016-01-16,10863508.0
2016-01-15,12333808.0
2016-01-14,3464158.0
2016-01-13,9787386.0
2016-01-12,4480537.0
2016-01-11,3691948.0
2016-01-10,10995430.0
2016-01-09,2343804.0
2016-01-08,50112980.0
2016-01-07,4735113.0
2016-01-06,3786486.0
2016-01-05,2963639.0
2016-01-04,3663117.0
2016-01-03,1996407.0
2016-01-02,1490217.0
2016-01-01,1215702.0
2015-12-31,3708298.0
2015-12-30,1894391.0
2015-12-29,2676406.0
2015-12-28,2301637.0
2015-12-27,2971722.0
2015-12-26,2513214.0
2015-12-25,12711450.0
2015-12-24,7451633.0
2015-12-23,4950341.0
2015-12-22,5573680.0
2015-12-21,4176357.0
2015-12-20,1650492.0
2015-12-19,15205738.0
2015-12-18,2150765.0
2015-12-17,3542717.0
2015-12-16,4454541.0
2015-12-15,7633483.0
2015-12-14,19841458.0
2015-12-13,5671852.0
2015-12-12,6315483.0
2015-12-11,6453946.0
2015-12-10,12845057.0
2015-12-09,10058076.0
2015-12-08,3016125.0
2015-12-07,4187531.0
2015-12-06,9499929.0
2015-12-05,6090488.0
2015-12-04,6084419.0
2015-12-03,4488141.0
2015-12-02,6358345.0
2015-12-01,3558719.0
2015-11-30,3996421.0
2015-11-29,1378681.0
2015-11-28,3337501.0
2015-11-27,5355603.0
2015-11-26,2914568.0
2015-11-25,3108927.0
2015-11-24,2422598.0
2015-11-23,4660478.0
2015-11-22,3106860.0
2015-11-21,2734460.0
2015-11-20,3322827.0
2015-11-19,4812219.0
2015-11-18,5846963.0
2015-11-17,5062607.0
2015-11-16,3077706.0
2015-11-15,2887754.0
2015-11-14,14911859.0
2015-11-13,5212466.0
2015-11-12,6077193.0
2015-11-11,6957967.0
2015-11-10,11283653.0
2015-11-09,18940680.0
2015-11-08,6896363.0
2015-11-07,24358989.0
2015-11-06,8429287.0
2015-11-05,12001212.0
2015-11-04,30859447.0
2015-11-03,14453705.0
2015-11-02,3575331.0
2015-11-01,21662194.0
2015-10-31,12085330.0
2015-10-30,9810292.0
2015-10-29,6625058.0
2015-10-28,39077741.0
2015-10-27,4876329.0
2015-10-26,3445411.0
2015-10-25,3306109.0
2015-10-24,1685510.0
2015-10-23,3213153.0
2015-10-22,7061481.0
2015-10-21,2428941.0
2015-10-20,5223123.0
2015-10-19,3462219.0
2015-10-18,2376053.0
2015-10-17,3607969.0
2015-10-16,2686648.0
2015-10-15,10750615.0
2015-10-14,3765335.0
2015-10-13,4404990.0
2015-10-12,8383306.0
2015-10-11,2138534.0
2015-10-10,2448746.0
2015-10-09,2041530.0
2015-10-08,4332522.0
2015-10-07,13122569.0
2015-10-06,3164454.0
2015-10-05,3299484.0
2015-10-04,1288017.0
2015-10-03,3124663.0
2015-10-02,2669300.0
2015-10-01,3583360.0
2015-09-30,3727333.0
2015-09-29,1696123.0
2015-09-28,4518059.0
2015-09-27,1725605.0
2015-09-26,1372819.0
2015-09-25,2598725.0
2015-09-24,1438008.0
2015-09-23,8240270.0
2015-09-22,10461848.0
2015-09-21,3761933.0
2015-09-20,1647773.0
2015-09-19,2131380.0
2015-09-18,1803587.0
2015-09-17,2272892.0
2015-09-16,2396257.0
2015-09-15,3784481.0
2015-09-14,1099861.0
2015-09-13,1252809.0
2015-09-12,1197595.0
2015-09-11,1594449.0
2015-09-10,17623791.0
2015-09-09,3188443.0
2015-09-08,2205144.0
2015-09-07,2897581.0
2015-09-06,2087667.0
