Date,Value
2017-11-13,33412.0
2017-11-12,41910.0
2017-11-11,50788.0
2017-11-10,80847.0
2017-11-09,63818.0
2017-11-08,87384.0
2017-11-07,69333.0
2017-11-06,57157.0
2017-11-05,78108.0
2017-11-04,58368.0
2017-11-03,75205.0
2017-11-02,69431.0
2017-11-01,55498.0
2017-10-31,79024.0
2017-10-30,76653.0
2017-10-29,47173.0
2017-10-28,45580.0
2017-10-27,57861.0
2017-10-26,82193.0
2017-10-25,80143.0
2017-10-24,69986.0
2017-10-23,59568.0
2017-10-22,74716.0
2017-10-21,60366.0
2017-10-20,88436.0
2017-10-19,77708.0
2017-10-18,79307.0
2017-10-17,79133.0
2017-10-16,77340.0
2017-10-15,70631.0
2017-10-14,71336.0
2017-10-13,67572.0
2017-10-12,72162.0
2017-10-11,76375.0
2017-10-10,71130.0
2017-10-09,55380.0
2017-10-08,56453.0
2017-10-07,73371.0
2017-10-06,72239.0
2017-10-05,51710.0
2017-10-04,74707.0
2017-10-03,67362.0
2017-10-02,54545.0
2017-10-01,47963.0
2017-09-30,64970.0
2017-09-29,70585.0
2017-09-28,64731.0
2017-09-27,70603.0
2017-09-26,56222.0
2017-09-25,44381.0
2017-09-24,49957.0
2017-09-23,54882.0
2017-09-22,67667.0
2017-09-21,62846.0
2017-09-20,77104.0
2017-09-19,50564.0
2017-09-18,50502.0
2017-09-17,56143.0
2017-09-16,59745.0
2017-09-15,59137.0
2017-09-14,61876.0
2017-09-13,63428.0
2017-09-12,66927.0
2017-09-11,39777.0
2017-09-10,49335.0
2017-09-09,65736.0
2017-09-08,58979.0
2017-09-07,65085.0
2017-09-06,64429.0
2017-09-05,58478.0
2017-09-04,43968.0
2017-09-03,53020.0
2017-09-02,66264.0
2017-09-01,66779.0
2017-08-31,68987.0
2017-08-30,67502.0
2017-08-29,50105.0
2017-08-28,64186.0
2017-08-27,53786.0
2017-08-26,44880.0
2017-08-25,35753.0
2017-08-24,73047.0
2017-08-23,40218.0
2017-08-22,44321.0
2017-08-21,44323.0
2017-08-20,59168.0
2017-08-19,53841.0
2017-08-18,73224.0
2017-08-17,59145.0
2017-08-16,67660.0
2017-08-15,51703.0
2017-08-14,56181.0
2017-08-13,57059.0
2017-08-12,58884.0
2017-08-11,55044.0
2017-08-10,61912.0
2017-08-09,60026.0
2017-08-08,60848.0
2017-08-07,47283.0
2017-08-06,56264.0
2017-08-05,56590.0
2017-08-04,50621.0
2017-08-03,51878.0
2017-08-02,37015.0
2017-08-01,54422.0
2017-07-31,43818.0
2017-07-30,53094.0
2017-07-29,54565.0
2017-07-28,54446.0
2017-07-27,55596.0
2017-07-26,57762.0
2017-07-25,54399.0
2017-07-24,40307.0
2017-07-23,50756.0
2017-07-22,68887.0
2017-07-21,48537.0
2017-07-20,59680.0
2017-07-19,59777.0
2017-07-18,52386.0
2017-07-17,43722.0
2017-07-16,52264.0
2017-07-15,48039.0
2017-07-14,57473.0
2017-07-13,59122.0
2017-07-12,60871.0
2017-07-11,60132.0
2017-07-10,42912.0
2017-07-09,53177.0
2017-07-08,57704.0
2017-07-07,53067.0
2017-07-06,57417.0
2017-07-05,60568.0
2017-07-04,60638.0
2017-07-03,43951.0
2017-07-02,52713.0
2017-07-01,72762.0
2017-06-30,42696.0
2017-06-29,64433.0
2017-06-28,58749.0
2017-06-27,61505.0
2017-06-26,33296.0
2017-06-25,53641.0
2017-06-24,60036.0
2017-06-23,60405.0
2017-06-22,63345.0
2017-06-21,58223.0
2017-06-20,60843.0
2017-06-19,45035.0
2017-06-18,57747.0
2017-06-17,60521.0
2017-06-16,73585.0
2017-06-15,64458.0
2017-06-14,57404.0
2017-06-13,49682.0
2017-06-12,50089.0
2017-06-11,56896.0
2017-06-10,62317.0
2017-06-09,76681.0
2017-06-08,78436.0
2017-06-07,64286.0
2017-06-06,62587.0
2017-06-05,60758.0
2017-06-04,66148.0
2017-06-03,56128.0
2017-06-02,70707.0
2017-06-01,70453.0
2017-05-31,72491.0
2017-05-30,67211.0
2017-05-29,51346.0
2017-05-28,79411.0
2017-05-27,54405.0
2017-05-26,60627.0
2017-05-25,73964.0
2017-05-24,64140.0
2017-05-23,64732.0
2017-05-22,73165.0
2017-05-21,89758.0
2017-05-20,40480.0
2017-05-19,36293.0
2017-05-18,23791.0
2017-05-17,22332.0
2017-05-16,50101.0
2017-05-15,112714.0
2017-05-14,76260.0
2017-05-13,46718.0
2017-05-12,50706.0
2017-05-11,38786.0
2017-05-10,67317.0
2017-05-09,79927.0
2017-05-08,61931.0
2017-05-07,122796.0
2017-05-06,29430.0
2017-05-05,84014.0
2017-05-04,56755.0
2017-05-03,75625.0
2017-05-02,60107.0
2017-05-01,58421.0
2017-04-30,83208.0
2017-04-29,71433.0
2017-04-28,58450.0
2017-04-27,97410.0
2017-04-26,75838.0
2017-04-25,40675.0
2017-04-24,56788.0
2017-04-23,62442.0
2017-04-22,83606.0
2017-04-21,58110.0
2017-04-20,78039.0
2017-04-19,70680.0
2017-04-18,58135.0
2017-04-17,49838.0
2017-04-16,59686.0
2017-04-15,84983.0
2017-04-14,47807.0
2017-04-13,74552.0
2017-04-12,77893.0
2017-04-11,72797.0
2017-04-10,58359.0
2017-04-09,63072.0
2017-04-08,74114.0
2017-04-07,76407.0
2017-04-06,85543.0
2017-04-05,67825.0
2017-04-04,76647.0
2017-04-03,65028.0
2017-04-02,68896.0
2017-04-01,63732.0
2017-03-31,69400.0
2017-03-30,82309.0
2017-03-29,81226.0
2017-03-28,45984.0
2017-03-27,52337.0
2017-03-26,59163.0
2017-03-25,69200.0
2017-03-24,70942.0
2017-03-23,82354.0
2017-03-22,69486.0
2017-03-21,64083.0
2017-03-20,72291.0
2017-03-19,56623.0
2017-03-18,56682.0
2017-03-17,77335.0
2017-03-16,75491.0
2017-03-15,86625.0
2017-03-14,59024.0
2017-03-13,52931.0
2017-03-12,71848.0
2017-03-11,65141.0
2017-03-10,74505.0
2017-03-09,73857.0
2017-03-08,86203.0
2017-03-07,56466.0
2017-03-06,69815.0
2017-03-05,57711.0
2017-03-04,103507.0
2017-03-03,86507.0
2017-03-02,72692.0
2017-03-01,98807.0
2017-02-28,67803.0
2017-02-27,64675.0
2017-02-26,72375.0
2017-02-25,89881.0
2017-02-24,91425.0
2017-02-23,71589.0
2017-02-22,68515.0
2017-02-21,65765.0
2017-02-20,68606.0
2017-02-19,77876.0
2017-02-18,97733.0
2017-02-17,66046.0
2017-02-16,82213.0
2017-02-15,90539.0
2017-02-14,81798.0
2017-02-13,65338.0
2017-02-12,71978.0
2017-02-11,78362.0
2017-02-10,103329.0
2017-02-09,81842.0
2017-02-08,65532.0
2017-02-07,53519.0
2017-02-06,82919.0
2017-02-05,115119.0
2017-02-04,59567.0
2017-02-03,81836.0
2017-02-02,97553.0
2017-02-01,77475.0
2017-01-31,81811.0
2017-01-30,69124.0
2017-01-29,72755.0
2017-01-28,88470.0
2017-01-27,89792.0
2017-01-26,105439.0
2017-01-25,57986.0
2017-01-24,82187.0
2017-01-23,71782.0
2017-01-22,86425.0
2017-01-21,93994.0
2017-01-20,99472.0
2017-01-19,100479.0
2017-01-18,84793.0
