Date,Value
2017-11-09,23462.0
2017-11-08,23563.0
2017-11-07,23557.0
2017-11-06,23548.0
2017-11-03,23539.0
2017-11-01,23435.0
2017-10-31,23377.0
2017-10-30,23349.0
2017-10-27,23434.0
2017-10-26,23401.0
2017-10-25,23329.0
2017-10-24,23442.0
2017-10-23,23274.0
2017-10-20,23329.0
2017-10-19,23163.0
2017-10-18,23158.0
2017-10-17,22997.0
2017-10-16,22957.0
2017-10-13,22872.0
2017-10-11,22873.0
2017-10-10,22831.0
2017-10-09,22761.0
2017-10-06,22774.0
2017-10-05,22775.0
2017-10-04,22662.0
2017-10-03,22642.0
2017-10-02,22558.0
2017-09-29,22405.0
2017-09-28,22381.0
2017-09-27,22341.0
2017-09-26,22284.0
2017-09-25,22296.0
2017-09-22,22350.0
2017-09-21,22359.0
2017-09-20,22413.0
2017-09-19,22371.0
2017-09-18,22331.0
2017-09-15,22268.0
2017-09-14,22203.0
2017-09-13,22158.0
2017-09-12,22119.0
2017-09-11,22057.0
2017-09-08,21798.0
2017-09-05,21753.0
2017-09-01,21988.0
2017-08-31,21948.0
2017-08-30,21892.0
2017-08-29,21865.0
2017-08-28,21808.0
2017-08-25,21814.0
2017-08-24,21783.0
2017-08-23,21812.0
2017-08-22,21900.0
2017-08-21,21704.0
2017-08-18,21675.0
2017-08-17,21751.0
2017-08-16,22025.0
2017-08-15,21999.0
2017-08-14,21994.0
2017-08-11,21858.0
2017-08-10,21844.0
2017-08-09,22049.0
2017-08-08,22085.0
2017-08-07,22118.0
2017-08-04,22093.0
2017-08-03,22026.0
2017-08-02,22016.0
2017-08-01,21964.0
2017-07-31,21891.0
2017-07-28,21830.0
2017-07-27,21797.0
2017-07-26,21711.0
2017-07-25,21613.0
2017-07-24,21513.0
2017-07-21,21580.0
2017-07-20,21612.0
2017-07-19,21641.0
2017-07-18,21575.0
2017-07-17,21630.0
2017-07-14,21638.0
2017-07-13,21553.0
2017-07-12,21532.0
2017-07-11,21409.0
2017-07-10,21409.0
2017-07-07,21414.0
2017-07-06,21320.0
2017-07-05,21478.0
2017-07-03,21479.0
2017-06-30,21350.0
2017-06-29,21287.0
2017-06-28,21455.0
2017-06-27,21311.0
2017-06-26,21410.0
2017-06-23,21395.0
2017-06-22,21397.0
2017-06-21,21410.0
2017-06-20,21467.0
2017-06-19,21529.0
2017-06-16,21384.0
2017-06-14,21375.0
2017-06-13,21328.0
2017-06-12,21236.0
2017-06-09,21272.0
2017-06-08,21183.0
2017-06-07,21174.0
2017-06-06,21136.0
2017-06-05,21184.0
2017-06-02,21206.0
2017-06-01,21144.0
2017-05-31,21009.0
2017-05-30,21029.0
2017-05-26,21080.0
2017-05-25,21083.0
2017-05-24,21012.0
2017-05-19,20805.0
2017-05-18,20663.0
2017-05-17,20607.0
2017-05-16,20980.0
2017-05-15,20982.0
2017-05-12,20897.0
2017-05-11,20919.0
2017-05-10,20943.0
2017-05-09,20976.0
2017-05-08,21012.0
2017-05-05,21007.0
2017-05-04,20951.0
2017-05-03,20958.0
2017-05-02,20950.0
2017-04-28,20941.0
2017-04-27,20981.0
2017-04-26,20975.0
2017-04-25,20996.0
2017-04-24,20764.0
2017-04-20,20579.0
2017-04-19,20404.0
2017-04-18,20523.0
2017-04-17,20637.0
2017-04-13,20453.0
2017-04-12,20592.0
2017-04-11,20651.0
2017-04-10,20658.0
2017-04-07,20656.0
2017-04-06,20663.0
2017-04-05,20648.0
2017-04-04,20689.0
2017-04-03,20650.0
2017-03-31,20663.0
2017-03-30,20728.0
2017-03-29,20659.0
2017-03-28,20520.0
2017-03-27,20413.0
2017-03-24,20530.0
2017-03-23,20619.0
2017-03-22,20579.0
2017-03-21,20653.0
2017-03-20,20886.0
2017-03-17,20911.0
2017-03-16,20894.0
2017-03-15,20860.0
2017-03-14,20786.0
2017-03-13,20846.0
2017-03-10,20828.0
2017-03-09,20777.0
2017-03-08,20836.0
2017-03-07,20901.0
2017-03-06,20912.0
2017-03-03,20954.0
2017-03-02,20997.0
2017-03-01,21116.0
2017-02-28,20812.0
2017-02-27,20837.0
2017-02-24,20822.0
2017-02-23,20810.0
2017-02-22,20776.0
2017-02-21,20743.0
2017-02-20,20624.0
2017-02-17,20624.0
2017-02-16,20620.0
2017-02-15,20612.0
2017-02-14,20504.0
2017-02-13,20412.0
2017-02-10,20269.0
2017-02-09,20172.0
2017-02-08,20054.0
2017-02-07,20090.0
2017-02-06,20052.0
2017-02-03,20071.0
2017-02-02,19885.0
2017-02-01,19891.0
2017-01-31,19864.0
2017-01-30,19971.0
2017-01-27,20094.0
2017-01-26,20101.0
2017-01-25,20069.0
2017-01-24,19913.0
2017-01-23,19800.0
2017-01-20,19827.0
2017-01-19,19732.0
2017-01-18,19805.0
2017-01-17,19827.0
2017-01-13,19886.0
2017-01-12,19891.0
2017-01-11,19954.0
2017-01-10,19856.0
2017-01-09,19887.0
2017-01-06,19964.0
2017-01-05,19899.0
2017-01-04,19942.0
2017-01-03,19882.0
2016-12-30,19763.0
2016-12-29,19820.0
2016-12-28,19834.0
2016-12-27,19945.0
2016-12-23,19934.0
2016-12-22,19919.0
2016-12-21,19942.0
2016-12-20,19975.0
2016-12-17,19883.0
2016-12-16,19843.0
2016-12-15,19852.0
2016-12-14,19793.0
2016-12-13,19911.0
2016-12-12,19796.0
2016-12-09,19757.0
2016-12-08,19615.0
2016-12-07,19550.0
2016-12-06,19252.0
2016-12-05,19216.0
2016-12-02,19170.0
2016-12-01,19192.0
2016-11-30,19124.0
2016-11-29,19122.0
2016-11-28,19098.0
2016-11-25,19152.0
2016-11-24,19083.0
2016-11-23,19083.0
2016-11-22,19024.0
2016-11-21,18957.0
2016-11-18,18868.0
2016-11-17,18904.0
2016-11-16,18868.0
2016-11-14,18869.0
2016-11-11,18848.0
2016-11-10,18808.0
2016-11-09,18590.0
2016-11-08,18333.0
2016-11-07,18260.0
2016-11-04,17888.0
2016-11-03,17931.0
2016-11-01,18037.0
2016-10-31,18142.0
2016-10-28,18161.0
2016-10-27,18170.0
2016-10-26,18199.0
2016-10-25,18169.0
2016-10-24,18223.0
2016-10-21,18146.0
2016-10-20,18162.0
2016-10-19,18203.0
2016-10-18,18162.0
2016-10-17,18086.0
2016-10-14,18138.0
2016-10-13,18099.0
2016-10-11,18129.0
2016-10-10,18329.0
2016-10-07,18240.0
2016-10-06,18268.0
2016-10-05,18281.0
2016-10-04,18168.0
2016-10-03,18254.0
2016-09-30,18308.0
2016-09-29,18143.0
2016-09-28,18339.0
2016-09-27,18228.0
2016-09-26,18095.0
2016-09-23,18261.0
2016-09-22,18392.0
2016-09-21,18294.0
2016-09-20,18130.0
2016-09-19,18120.0
2016-09-16,18124.0
2016-09-15,18212.0
2016-09-14,18035.0
2016-09-13,18067.0
2016-09-12,18325.0
2016-09-09,18085.0
2016-09-08,18480.0
2016-09-06,18538.0
2016-09-02,18492.0
2016-09-01,18419.0
2016-08-31,18401.0
2016-08-30,18454.0
2016-08-29,18503.0
2016-08-26,18395.0
2016-08-25,18448.0
2016-08-24,18481.0
2016-08-23,18547.0
2016-08-22,18529.0
2016-08-19,18553.0
2016-08-18,18598.0
2016-08-17,18574.0
2016-08-16,18552.0
2016-08-15,18636.0
2016-08-12,18576.0
2016-08-11,18614.0
2016-08-10,18496.0
2016-08-09,18533.0
2016-08-08,18529.0
2016-08-05,18544.0
2016-08-04,18352.0
2016-08-03,18355.0
2016-08-02,18314.0
2016-08-01,18405.0
2016-07-29,18432.0
2016-07-28,18456.0
2016-07-27,18472.0
2016-07-26,18474.0
2016-07-25,18493.0
2016-07-22,18571.0
2016-07-21,18517.0
2016-07-20,18595.0
2016-07-19,18559.0
2016-07-18,18533.0
2016-07-15,18517.0
2016-07-14,18506.0
2016-07-13,18372.0
2016-07-12,18348.0
2016-07-11,18227.0
2016-07-08,18147.0
2016-07-07,17896.0
2016-07-06,17919.0
2016-07-05,17841.0
2016-07-01,17949.0
2016-06-30,17930.0
2016-06-29,17695.0
2016-06-28,17410.0
2016-06-27,17140.0
2016-06-24,17401.0
2016-06-23,18011.0
2016-06-22,17781.0
2016-06-21,17830.0
2016-06-16,17733.0
2016-06-15,17640.0
2016-06-14,17675.0
2016-06-13,17732.0
2016-06-10,17865.0
2016-06-09,17985.0
2016-06-08,18005.0
2016-06-07,17938.0
2016-06-06,17920.0
2016-06-03,17807.0
2016-06-02,17839.0
2016-06-01,17790.0
2016-05-31,17787.0
2016-05-27,17873.0
2016-05-26,17828.0
2016-05-25,17852.0
2016-05-24,17706.0
2016-05-23,17493.0
2016-05-20,17501.0
2016-05-19,17435.0
2016-05-18,17527.0
2016-05-17,17530.0
2016-05-16,17711.0
2016-05-13,17535.0
2016-05-12,17720.0
2016-05-11,17711.0
2016-05-10,17928.0
2016-05-09,17706.0
2016-05-06,17741.0
2016-05-05,17661.0
2016-05-04,17651.0
2016-05-03,17751.0
2016-05-02,17891.0
2016-04-29,17831.0
2016-04-28,17831.0
2016-04-27,18042.0
2016-04-26,17990.0
2016-04-25,17977.0
2016-04-22,18004.0
2016-04-21,17983.0
2016-04-20,18096.0
2016-04-19,18054.0
2016-04-18,18004.0
2016-04-15,17897.0
2016-04-14,17926.0
2016-04-13,17908.0
2016-04-12,17721.0
2016-04-11,17556.0
2016-04-08,17577.0
2016-04-07,17542.0
2016-04-06,17716.0
2016-04-05,17603.0
2016-04-04,17737.0
2016-04-01,17793.0
2016-03-31,17685.0
2016-03-30,17717.0
2016-03-29,17633.0
2016-03-28,17535.0
2016-03-24,17516.0
2016-03-23,17503.0
2016-03-22,17583.0
2016-03-21,17624.0
2016-03-18,17602.0
2016-03-17,17481.0
2016-03-16,17326.0
2016-03-15,17252.0
2016-03-14,17229.0
2016-03-11,17213.0
2016-03-10,16995.0
2016-03-09,17000.0
2016-03-08,16964.0
2016-03-07,17074.0
2016-03-04,17007.0
2016-03-03,16944.0
2016-03-02,16899.0
2016-03-01,16865.0
2016-02-29,16516.0
2016-02-26,16697.0
2016-02-25,16697.0
2016-02-24,16485.0
2016-02-23,16432.0
2016-02-22,16621.0
2016-02-19,16392.0
2016-02-18,16413.0
2016-02-17,16454.0
2016-02-16,16196.0
2016-02-12,15974.0
2016-02-11,15660.0
2016-02-10,15915.0
2016-02-09,16027.0
2016-02-08,16014.0
2016-02-05,16205.0
2016-02-04,16417.0
2016-02-03,16337.0
2016-02-02,16154.0
2016-02-01,16449.0
2016-01-29,16466.0
2016-01-28,16070.0
2016-01-27,15944.0
2016-01-26,16167.0
2016-01-25,15885.0
2016-01-22,16094.0
2016-01-21,15883.0
2016-01-20,15767.0
2016-01-19,16016.0
2016-01-15,15988.0
2016-01-14,16379.0
2016-01-13,16151.0
2016-01-12,16516.0
2016-01-11,16399.0
2016-01-08,16346.0
2016-01-07,16514.0
2016-01-06,16907.0
2016-01-05,17159.0
2016-01-04,17149.0
2015-12-31,17425.0
2015-12-30,17604.0
2015-12-29,17721.0
2015-12-28,17528.0
2015-12-24,17552.0
2015-12-23,17603.0
2015-12-22,17417.0
2015-12-21,17252.0
2015-12-18,17129.0
2015-12-17,17496.0
2015-12-16,17749.0
2015-12-15,17525.0
2015-12-14,17368.0
2015-12-11,17265.0
2015-12-10,17575.0
2015-12-09,17492.0
2015-12-08,17568.0
