Date,Value Traded,# of Transactions,# of Shares,Index,% Change
2017-10-30,196093.0,107.0,82087.0,3984.0,-0.19
2017-10-29,181961.0,96.0,87330.0,3992.0,-0.44
2017-10-26,254960.0,93.0,133114.0,4010.0,0.38
2017-10-25,208854.0,102.0,104869.0,3995.0,-0.28
2017-10-24,70453.0,68.0,33372.0,4006.0,-0.82
2017-10-23,220882.0,93.0,114419.0,4039.0,0.19
2017-10-22,274052.0,112.0,128298.0,4031.0,-0.96
2017-10-19,182679.0,141.0,79641.0,4070.0,1.99
2017-10-18,580009.0,270.0,252572.0,3991.0,-1.27
2017-10-17,181167.0,84.0,71789.0,4042.0,-0.45
2017-10-16,362752.0,170.0,184831.0,4060.0,-0.63
2017-10-15,219492.0,186.0,103754.0,4086.0,-0.37
2017-10-12,306148.0,241.0,145201.0,4101.0,1.53
2017-10-11,292492.0,231.0,144064.0,4040.0,1.21
2017-10-10,135748.0,112.0,56987.0,3991.0,0.23
2017-10-09,201837.0,166.0,81061.0,3982.0,-0.64
2017-10-08,526449.0,238.0,210178.0,4008.0,-1.59
2017-10-05,142967.0,115.0,61553.0,4072.0,0.45
2017-10-04,403616.0,329.0,177458.0,4054.0,-1.02
2017-10-03,390663.0,253.0,160436.0,4096.0,-2.23
2017-10-02,502975.0,149.0,261777.0,4189.0,-0.2
2017-10-01,212009.0,98.0,99784.0,4198.0,-0.71
2017-09-28,221975.0,118.0,102427.0,4228.0,0.87
2017-09-27,234861.0,114.0,115027.0,4191.0,-0.43
2017-09-26,83358.0,62.0,38510.0,4209.0,0.09
2017-09-25,160990.0,110.0,72139.0,4205.0,-0.39
2017-09-24,239492.0,115.0,100120.0,4221.0,0.28
2017-09-20,212412.0,132.0,84528.0,4209.0,0.14
2017-09-19,214936.0,123.0,99471.0,4203.0,-0.39
2017-09-18,109004.0,84.0,51412.0,4220.0,0.47
2017-09-17,150054.0,133.0,57673.0,4200.0,-0.85
2017-09-14,614387.0,272.0,256868.0,4237.0,-0.94
2017-09-13,120260.0,85.0,43584.0,4277.0,-0.44
2017-09-12,263413.0,146.0,92441.0,4296.0,-0.42
2017-09-11,448280.0,322.0,175383.0,4314.0,1.8
2017-09-10,103586.0,71.0,36085.0,4237.0,-0.73
2017-09-07,95518.0,66.0,35663.0,4269.0,0.43
2017-09-06,227057.0,139.0,78877.0,4250.0,-0.91
2017-09-05,289204.0,224.0,101165.0,4290.0,-2.6
2017-08-30,1012218.0,487.0,412996.0,4404.0,6.06
2017-08-29,398870.0,263.0,149518.0,4152.0,3.09
2017-08-28,215447.0,124.0,104411.0,4028.0,0.05
2017-08-27,79445.0,86.0,31473.0,4026.0,0.87
2017-08-24,415125.0,293.0,181627.0,3991.0,-1.13
2017-08-23,304000.0,165.0,114748.0,4037.0,0.48
2017-08-22,259969.0,142.0,95239.0,4017.0,-1.5
2017-08-21,151900.0,120.0,65384.0,4078.0,0.04
2017-08-20,275555.0,171.0,100539.0,4077.0,-1.91
2017-08-17,235536.0,177.0,90181.0,4156.0,-0.16
2017-08-16,350930.0,206.0,132236.0,4163.0,0.63
2017-08-14,117793.0,111.0,42505.0,4137.0,-1.51
2017-08-13,207925.0,115.0,74630.0,4200.0,-0.82
2017-08-10,154664.0,117.0,53396.0,4235.0,-0.53
2017-08-09,243502.0,103.0,88638.0,4258.0,-1.08
2017-08-08,246152.0,100.0,83425.0,4305.0,-0.45
2017-08-07,194188.0,118.0,69104.0,4324.0,0.41
2017-08-06,257154.0,165.0,90945.0,4306.0,-1.82
2017-08-03,112626.0,95.0,38432.0,4386.0,0.67
2017-08-02,338746.0,189.0,126306.0,4357.0,0.4
2017-08-01,832053.0,374.0,332564.0,4339.0,0.5
2017-07-31,916631.0,333.0,334380.0,4317.0,-1.46
2017-07-30,840945.0,329.0,292757.0,4382.0,-1.79
2017-07-27,1013425.0,341.0,344233.0,4462.0,-1.26
2017-07-26,339435.0,117.0,150735.0,4519.0,-0.5
2017-07-25,268193.0,123.0,89413.0,4541.0,-0.13
2017-07-24,808172.0,187.0,324386.0,4547.0,-0.82
2017-07-23,129690.0,85.0,42513.0,4585.0,-0.16
2017-07-20,570102.0,128.0,179898.0,4593.0,0.33
2017-07-19,276440.0,125.0,88376.0,4578.0,0.2
2017-07-18,266783.0,109.0,87630.0,4568.0,-0.72
2017-07-17,453559.0,174.0,146493.0,4602.0,-0.75
2017-07-16,208007.0,88.0,75034.0,4636.0,0.62
2017-07-13,171669.0,95.0,57645.0,4608.0,-0.39
2017-07-12,323325.0,102.0,106212.0,4626.0,-0.44
2017-07-11,591996.0,148.0,187952.0,4646.0,0.46
2017-07-10,454829.0,98.0,143837.0,4625.0,-0.36
2017-07-09,195122.0,97.0,66670.0,4652.0,0.38
2017-07-06,259926.0,110.0,85935.0,4634.0,0.39
2017-07-05,220128.0,74.0,74405.0,4616.0,0.63
2017-07-04,220128.0,74.0,74405.0,4616.0,0.63
2017-07-03,439652.0,142.0,140130.0,4588.0,0.46
2017-07-02,172802.0,96.0,59633.0,4567.0,-0.88
2017-06-29,181900.0,85.0,62015.0,4607.0,1.06
2017-06-22,495210.0,121.0,159304.0,4559.0,0.9
2017-06-21,152632.0,74.0,55467.0,4518.0,-0.37
2017-06-20,186980.0,58.0,63645.0,4535.0,0.03
2017-06-19,214720.0,100.0,83137.0,4534.0,0.0
2017-06-18,609396.0,123.0,199355.0,4534.0,-0.13
2017-06-15,373292.0,171.0,148707.0,4540.0,-0.36
2017-06-14,76984.0,56.0,26888.0,4556.0,-0.49
2017-06-13,243651.0,103.0,83942.0,4579.0,0.33
2017-06-12,177307.0,100.0,56605.0,4564.0,-0.2
2017-06-11,111830.0,87.0,36935.0,4573.0,-0.36
2017-06-08,90460.0,60.0,32686.0,4589.0,0.03
2017-06-07,126040.0,71.0,43945.0,4588.0,0.36
2017-06-06,172710.0,85.0,58046.0,4571.0,0.33
2017-06-05,227917.0,124.0,73866.0,4556.0,-0.64
2017-06-04,135455.0,66.0,43443.0,4585.0,-0.06
2017-06-01,195568.0,115.0,73761.0,4588.0,0.43
2017-05-31,236715.0,98.0,81685.0,4569.0,-0.94
2017-05-30,300767.0,95.0,97019.0,4612.0,-0.32
2017-05-29,281089.0,136.0,92775.0,4627.0,-0.49
2017-05-28,372509.0,104.0,117617.0,4650.0,1.45
2017-05-24,322816.0,113.0,104995.0,4583.0,-0.44
2017-05-23,521912.0,164.0,170369.0,4603.0,-0.89
2017-05-22,176897.0,80.0,56191.0,4644.0,-0.19
2017-05-21,166985.0,92.0,52278.0,4653.0,0.54
2017-05-18,286417.0,151.0,89337.0,4628.0,0.39
2017-05-17,371346.0,264.0,118421.0,4610.0,-1.12
2017-05-16,365540.0,261.0,114439.0,4662.0,-0.04
2017-05-15,338030.0,238.0,106105.0,4664.0,1.18
2017-05-14,547396.0,287.0,182127.0,4610.0,-0.15
2017-05-11,493919.0,372.0,155977.0,4617.0,-0.58
2017-05-10,648033.0,239.0,213889.0,4644.0,-0.54
2017-05-09,545827.0,318.0,179989.0,4669.0,-0.67
2017-05-08,635152.0,314.0,220808.0,4701.0,0.47
2017-05-07,299056.0,225.0,105714.0,4679.0,-0.05
2017-05-04,172700.0,173.0,54520.0,4681.0,-0.76
2017-05-03,550751.0,353.0,168640.0,4717.0,-0.55
2017-05-02,620576.0,518.0,188450.0,4743.0,0.84
2017-05-01,198639.0,128.0,61253.0,4704.0,-5.08
2017-04-26,1019311.0,416.0,305941.0,4955.0,-0.68
2017-04-25,663939.0,285.0,196142.0,4989.0,-0.6
2017-04-24,1538100.0,403.0,434220.0,5019.0,-0.14
2017-04-23,849688.0,325.0,245388.0,5026.0,-0.63
2017-04-20,1414274.0,414.0,399856.0,5058.0,0.28
2017-04-19,703759.0,177.0,201101.0,5044.0,0.63
2017-04-18,641900.0,164.0,190228.0,5013.0,-0.1
2017-04-17,851805.0,228.0,256686.0,5018.0,0.64
2017-04-16,357618.0,109.0,107756.0,4986.0,-0.64
2017-04-13,465254.0,149.0,135866.0,5018.0,-0.28
2017-04-12,631653.0,203.0,197180.0,5032.0,0.12
2017-04-11,851785.0,235.0,268658.0,5026.0,0.49
2017-04-10,416638.0,157.0,120062.0,5001.0,0.7
2017-04-09,1458268.0,485.0,475307.0,4967.0,-0.66
2017-04-06,760878.0,310.0,252892.0,5000.0,2.06
2017-04-05,364035.0,152.0,118539.0,4899.0,-0.47
2017-04-04,352777.0,130.0,105869.0,4922.0,0.47
2017-04-03,565784.0,271.0,179213.0,4899.0,-0.74
2017-04-02,415291.0,183.0,125591.0,4936.0,-0.04
2017-03-30,456449.0,178.0,131809.0,4938.0,0.0
2017-03-29,1815510.0,519.0,552516.0,4938.0,1.16
2017-03-28,511630.0,172.0,159992.0,4881.0,1.56
2017-03-27,523639.0,200.0,175444.0,4806.0,-0.44
2017-03-26,297432.0,153.0,89454.0,4828.0,-0.31
2017-03-23,213466.0,116.0,71088.0,4843.0,-0.31
2017-03-22,260878.0,145.0,89200.0,4858.0,0.41
2017-03-21,1007382.0,296.0,361954.0,4838.0,0.49
2017-03-20,367469.0,180.0,127551.0,4814.0,0.0
2017-03-19,492068.0,202.0,154985.0,4814.0,-0.73
2017-03-16,328770.0,129.0,101482.0,4850.0,0.38
2017-03-15,518978.0,145.0,155846.0,4831.0,-0.38
2017-03-14,429974.0,135.0,149136.0,4850.0,-0.65
2017-03-13,411653.0,272.0,121149.0,4881.0,1.17
2017-03-12,304007.0,244.0,89171.0,4825.0,-1.28
2017-03-09,547586.0,212.0,159267.0,4887.0,0.72
2017-03-08,441060.0,161.0,130132.0,4852.0,0.29
2017-03-07,615587.0,215.0,183679.0,4838.0,1.29
2017-03-06,196370.0,101.0,61562.0,4776.0,0.42
