Date,Value
2017-11-09,6750.0
2017-11-08,6789.0
2017-11-07,6768.0
2017-11-06,6786.0
2017-11-03,6764.0
2017-11-01,6717.0
2017-10-31,6728.0
2017-10-30,6699.0
2017-10-27,6701.0
2017-10-25,6564.0
2017-10-24,6598.0
2017-10-23,6587.0
2017-10-20,6629.0
2017-10-19,6605.0
2017-10-18,6624.0
2017-10-17,6618.0
2017-10-16,6624.0
2017-10-13,6614.0
2017-10-11,6604.0
2017-10-10,6587.0
2017-10-09,6580.0
2017-10-06,6590.0
2017-10-05,6535.0
2017-10-04,6535.0
2017-10-03,6532.0
2017-10-02,6517.0
2017-09-29,6453.0
2017-09-28,6453.0
2017-09-27,6453.0
2017-09-26,6380.0
2017-09-25,6371.0
2017-09-22,6427.0
2017-09-21,6423.0
2017-09-20,6456.0
2017-09-19,6461.0
2017-09-18,6455.0
2017-09-15,6448.0
2017-09-14,6429.0
2017-09-13,6460.0
2017-09-12,6454.0
2017-09-08,6360.0
2017-09-06,6393.0
2017-09-01,6435.0
2017-08-31,6429.0
2017-08-30,6368.0
2017-08-29,6360.0
2017-08-28,6302.0
2017-08-25,6266.0
2017-08-24,6271.0
2017-08-23,6263.0
2017-08-22,6282.0
2017-08-21,6213.0
2017-08-18,6217.0
2017-08-17,6322.0
2017-08-16,6345.0
2017-08-15,6322.0
2017-08-14,6340.0
2017-08-11,6257.0
2017-08-10,6217.0
2017-08-09,6352.0
2017-08-08,6370.0
2017-08-07,6384.0
2017-08-04,6352.0
2017-08-03,6340.0
2017-08-02,6363.0
2017-08-01,6363.0
2017-07-31,6348.0
2017-07-28,6375.0
2017-07-27,6382.0
2017-07-26,6423.0
2017-07-25,6412.0
2017-07-24,6411.0
2017-07-21,6388.0
2017-07-20,6390.0
2017-07-19,6385.0
2017-07-18,6344.0
2017-07-17,6314.0
2017-07-14,6312.0
2017-07-13,6274.0
2017-07-12,6261.0
2017-07-11,6193.0
2017-07-10,6176.0
2017-07-07,6153.0
2017-07-06,6089.0
2017-07-05,6151.0
2017-07-03,6110.0
2017-06-29,6144.0
2017-06-28,6234.0
2017-06-27,6147.0
2017-06-26,6247.0
2017-06-23,6265.0
2017-06-22,6267.0
2017-06-21,6234.0
2017-06-20,6188.0
2017-06-19,6239.0
2017-06-16,6152.0
2017-06-14,6195.0
2017-06-13,6220.0
2017-06-12,6175.0
2017-06-09,6208.0
2017-06-08,6322.0
2017-06-07,6297.0
2017-06-06,6275.0
2017-06-05,6296.0
2017-06-02,6306.0
2017-06-01,6247.0
2017-05-31,6199.0
2017-05-30,6203.0
2017-05-26,6210.0
2017-05-25,6205.0
2017-05-24,6163.0
2017-05-19,6084.0
2017-05-18,6055.0
2017-05-17,6011.0
2017-05-16,6170.0
2017-05-15,6150.0
2017-05-12,6121.0
2017-05-11,6116.0
2017-05-10,6129.0
2017-05-09,6121.0
2017-05-08,6103.0
2017-05-05,6101.0
2017-05-04,6075.0
2017-05-03,6073.0
2017-05-02,6095.0
2017-04-28,6048.0
2017-04-27,6049.0
2017-04-26,6025.0
2017-04-25,6025.0
2017-04-24,5984.0
2017-04-20,5917.0
2017-04-19,5863.0
2017-04-18,5849.0
2017-04-17,5857.0
2017-04-13,5805.0
2017-04-12,5836.0
2017-04-11,5867.0
2017-04-10,5881.0
2017-04-07,5878.0
2017-04-06,5879.0
2017-04-05,5864.0
2017-04-04,5899.0
2017-04-03,5895.0
2017-03-31,5912.0
2017-03-30,5914.0
2017-03-29,5898.0
2017-03-28,5875.0
2017-03-27,5840.0
2017-03-24,5829.0
2017-03-23,5818.0
2017-03-22,5822.0
2017-03-21,5794.0
2017-03-20,5902.0
2017-03-17,5890.0
2017-03-16,5901.0
2017-03-15,5900.0
2017-03-14,5857.0
2017-03-13,5876.0
2017-03-10,5862.0
2017-03-09,5839.0
2017-03-08,5838.0
2017-03-07,5834.0
2017-03-06,5849.0
2017-03-03,5871.0
2017-03-02,5861.0
2017-03-01,5904.0
2017-02-28,5825.0
2017-02-27,5862.0
2017-02-24,5825.0
2017-02-23,5836.0
2017-02-22,5861.0
2017-02-21,5866.0
2017-02-20,5839.0
2017-02-17,5839.0
2017-02-16,5815.0
2017-02-15,5819.0
2017-02-14,5783.0
2017-02-13,5764.0
2017-02-10,5734.0
2017-02-09,5715.0
2017-02-08,5682.0
2017-02-07,5674.0
2017-02-06,5664.0
2017-02-03,5667.0
2017-02-02,5636.0
2017-02-01,5643.0
2017-01-31,5615.0
2017-01-30,5661.0
2017-01-27,5661.0
2017-01-26,5655.0
2017-01-25,5656.0
2017-01-24,5601.0
2017-01-23,5553.0
2017-01-20,5555.0
2017-01-19,5540.0
2017-01-18,5556.0
2017-01-17,5539.0
2017-01-13,5574.0
2017-01-12,5547.0
2017-01-11,5564.0
2017-01-10,5552.0
2017-01-09,5532.0
2017-01-06,5521.0
2017-01-05,5488.0
2017-01-04,5477.0
2017-01-03,5429.0
2016-12-30,5383.0
2016-12-29,5432.0
2016-12-28,5439.0
2016-12-27,5487.0
2016-12-23,5463.0
2016-12-22,5447.0
2016-12-21,5471.0
2016-12-20,5484.0
2016-12-17,5457.0
2016-12-16,5437.0
2016-12-15,5457.0
2016-12-14,5437.0
2016-12-13,5464.0
2016-12-12,5413.0
2016-12-09,5444.0
2016-12-08,5417.0
2016-12-07,5394.0
2016-12-06,5333.0
2016-12-05,5309.0
2016-12-02,5256.0
2016-12-01,5251.0
2016-11-30,5324.0
2016-11-29,5380.0
2016-11-28,5369.0
2016-11-25,5399.0
2016-11-24,5381.0
2016-11-23,5381.0
2016-11-22,5386.0
2016-11-21,5369.0
2016-11-18,5322.0
2016-11-17,5334.0
2016-11-16,5295.0
2016-11-14,5218.0
2016-11-11,5237.0
2016-11-10,5209.0
2016-11-09,5251.0
2016-11-08,5193.0
2016-11-07,5166.0
2016-11-04,5046.0
2016-11-03,5058.0
2016-11-01,5154.0
2016-10-31,5190.0
2016-10-28,5190.0
2016-10-27,5216.0
2016-10-26,5250.0
2016-10-25,5283.0
2016-10-24,5310.0
2016-10-21,5257.0
2016-10-20,5242.0
2016-10-19,5246.0
2016-10-18,5244.0
2016-10-17,5200.0
2016-10-14,5214.0
2016-10-13,5213.0
2016-10-11,5247.0
2016-10-10,5329.0
2016-10-07,5292.0
2016-10-06,5307.0
2016-10-05,5316.0
2016-10-04,5290.0
2016-10-03,5301.0
2016-09-30,5312.0
2016-09-29,5269.0
2016-09-28,5319.0
2016-09-27,5306.0
2016-09-26,5257.0
2016-09-23,5306.0
2016-09-22,5340.0
2016-09-21,5295.0
2016-09-20,5241.0
2016-09-19,5235.0
2016-09-16,5245.0
2016-09-15,5250.0
2016-09-14,5174.0
2016-09-13,5155.0
2016-09-12,5212.0
2016-09-09,5126.0
2016-09-08,5259.0
2016-09-06,5276.0
2016-09-02,5250.0
2016-09-01,5227.0
2016-08-31,5213.0
2016-08-30,5223.0
2016-08-29,5232.0
2016-08-26,5219.0
2016-08-25,5212.0
2016-08-24,5218.0
2016-08-23,5260.0
2016-08-22,5245.0
2016-08-19,5238.0
2016-08-18,5240.0
2016-08-17,5229.0
2016-08-16,5227.0
2016-08-15,5262.0
2016-08-12,5233.0
2016-08-11,5228.0
2016-08-10,5205.0
2016-08-09,5225.0
2016-08-08,5213.0
2016-08-05,5221.0
2016-08-04,5166.0
2016-08-03,5160.0
2016-08-02,5138.0
2016-08-01,5184.0
2016-07-29,5162.0
2016-07-28,5155.0
2016-07-27,5140.0
2016-07-26,5110.0
2016-07-25,5098.0
2016-07-22,5100.0
2016-07-21,5074.0
2016-07-20,5090.0
2016-07-19,5036.0
2016-07-18,5056.0
2016-07-15,5030.0
2016-07-14,5034.0
2016-07-13,5006.0
2016-07-12,5023.0
2016-07-11,4989.0
2016-07-08,4957.0
2016-07-07,4877.0
2016-07-06,4859.0
2016-07-05,4823.0
2016-07-01,4863.0
2016-06-30,4843.0
2016-06-29,4779.0
2016-06-28,4692.0
2016-06-27,4594.0
2016-06-24,4708.0
2016-06-23,4910.0
2016-06-22,4833.0
2016-06-21,4844.0
2016-06-16,4845.0
2016-06-15,4835.0
2016-06-14,4844.0
2016-06-13,4848.0
2016-06-10,4895.0
2016-06-09,4959.0
2016-06-08,4975.0
2016-06-07,4962.0
2016-06-06,4969.0
2016-06-03,4943.0
2016-06-02,4971.0
2016-06-01,4952.0
2016-05-31,4948.0
2016-05-27,4934.0
2016-05-26,4902.0
2016-05-25,4895.0
2016-05-24,4861.0
2016-05-23,4766.0
2016-05-20,4770.0
2016-05-19,4713.0
2016-05-18,4739.0
2016-05-17,4716.0
2016-05-16,4775.0
2016-05-13,4718.0
2016-05-12,4737.0
2016-05-11,4761.0
2016-05-10,4810.0
2016-05-09,4750.0
2016-05-06,4736.0
2016-05-05,4717.0
2016-05-04,4726.0
2016-05-03,4763.0
2016-05-02,4818.0
2016-04-29,4775.0
2016-04-28,4805.0
2016-04-27,4863.0
2016-04-26,4888.0
2016-04-25,4896.0
2016-04-22,4906.0
2016-04-21,4946.0
2016-04-20,4948.0
2016-04-19,4940.0
2016-04-18,4960.0
2016-04-15,4938.0
2016-04-14,4946.0
2016-04-13,4947.0
2016-04-12,4872.0
2016-04-11,4833.0
2016-04-08,4851.0
2016-04-07,4848.0
2016-04-06,4921.0
2016-04-05,4844.0
2016-04-04,4892.0
2016-04-01,4915.0
2016-03-31,4870.0
2016-03-30,4869.0
2016-03-29,4847.0
2016-03-28,4767.0
2016-03-24,4774.0
2016-03-23,4769.0
2016-03-22,4822.0
2016-03-21,4809.0
2016-03-18,4796.0
2016-03-17,4775.0
2016-03-16,4764.0
2016-03-15,4729.0
2016-03-14,4750.0
2016-03-11,4748.0
2016-03-10,4662.0
2016-03-09,4674.0
2016-03-08,4649.0
2016-03-07,4708.0
2016-03-04,4717.0
2016-03-03,4707.0
2016-03-02,4703.0
2016-03-01,4690.0
2016-02-29,4558.0
2016-02-26,4590.0
2016-02-25,4582.0
2016-02-24,4543.0
2016-02-23,4504.0
2016-02-22,4571.0
2016-02-19,4504.0
2016-02-18,4488.0
2016-02-17,4534.0
2016-02-16,4436.0
2016-02-12,4338.0
2016-02-11,4267.0
2016-02-10,4284.0
2016-02-09,4269.0
2016-02-08,4284.0
2016-02-05,4363.0
2016-02-04,4510.0
2016-02-03,4504.0
2016-02-02,4517.0
2016-02-01,4620.0
2016-01-29,4614.0
2016-01-28,4507.0
2016-01-27,4468.0
2016-01-26,4568.0
2016-01-25,4518.0
2016-01-22,4591.0
2016-01-21,4472.0
2016-01-20,4472.0
2016-01-19,4477.0
2016-01-15,4488.0
2016-01-14,4615.0
2016-01-13,4526.0
2016-01-12,4686.0
2016-01-11,4638.0
2016-01-08,4644.0
2016-01-07,4689.0
2016-01-06,4836.0
2016-01-05,4891.0
2016-01-04,4903.0
2015-12-31,5007.0
2015-12-30,5066.0
2015-12-29,5108.0
2015-12-28,5041.0
2015-12-24,5048.0
2015-12-23,5046.0
2015-12-22,5001.0
2015-12-21,4969.0
2015-12-18,4923.0
2015-12-17,5003.0
2015-12-16,5071.0
2015-12-15,4995.0
2015-12-14,4952.0
2015-12-11,4933.0
2015-12-10,5045.0
2015-12-09,5023.0
2015-12-08,5098.0
2015-12-07,5102.0
2015-12-04,5142.0
2015-12-03,5038.0
2015-12-02,5123.0
2015-12-01,5156.0
2015-11-30,5109.0
2015-11-27,5128.0
2015-11-25,5116.0
2015-11-24,5103.0
2015-11-23,5102.0
2015-11-20,5105.0
2015-11-19,5074.0
2015-11-18,5075.0
2015-11-17,4986.0
2015-11-16,4985.0
2015-11-13,4928.0
2015-11-12,5005.0
2015-11-11,5067.0
2015-11-10,5083.0
2015-11-09,5095.0
2015-11-06,5147.0
2015-11-05,5128.0
2015-11-04,5142.0
2015-11-03,5145.0
2015-11-02,5054.0
2015-10-30,5054.0
2015-10-29,5074.0
2015-10-28,5096.0
2015-10-27,5030.0
2015-10-26,5035.0
2015-10-23,5032.0
2015-10-22,4920.0
2015-10-21,4840.0
2015-10-20,4881.0
2015-10-19,4905.0
2015-10-16,4887.0
2015-10-15,4870.0
2015-10-14,4783.0
2015-10-13,4797.0
2015-10-12,4839.0
2015-10-09,4830.0
2015-10-08,4811.0
2015-10-07,4791.0
2015-10-06,4748.0
2015-10-05,4781.0
2015-10-02,4708.0
2015-10-01,4627.0
2015-09-30,4620.0
2015-09-29,4517.0
2015-09-28,4544.0
2015-09-25,4686.0
2015-09-24,4734.0
2015-09-23,4753.0
2015-09-22,4757.0
2015-09-21,4829.0
2015-09-18,4827.0
2015-09-17,4894.0
2015-09-16,4889.0
2015-09-15,4861.0
2015-09-14,4806.0
2015-09-11,4822.0
2015-09-10,4796.0
2015-09-09,4757.0
2015-09-08,4757.0
2015-09-04,4684.0
2015-09-03,4734.0
2015-09-02,4750.0
2015-09-01,4636.0
2015-08-31,4777.0
2015-08-28,4828.0
2015-08-27,4813.0
2015-08-26,4698.0
2015-08-25,4506.0
2015-08-24,4526.0
2015-08-21,4706.0
2015-08-20,4877.0
2015-08-19,5019.0
2015-08-18,5059.0
2015-08-17,5092.0
2015-08-14,5048.0
2015-08-13,5034.0
2015-08-12,5044.0
2015-08-11,5037.0
2015-08-10,5102.0
2015-08-07,5044.0
2015-08-06,5056.0
2015-08-05,5140.0
2015-08-04,5106.0
2015-08-03,5115.0
2015-07-31,5128.0
2015-07-30,5129.0
2015-07-29,5112.0
2015-07-28,5089.0
2015-07-27,5040.0
2015-07-24,5089.0
2015-07-23,5146.0
2015-07-22,5172.0
2015-07-21,5208.0
2015-07-20,5219.0
2015-07-17,5210.0
2015-07-16,5163.0
2015-07-15,5099.0
2015-07-14,5105.0
2015-07-13,5072.0
2015-07-10,4998.0
2015-07-09,4922.0
2015-07-08,4965.0
2015-07-07,5002.0
2015-07-06,5021.0
2015-07-02,5009.0
2015-07-01,5013.0
2015-06-30,4987.0
2015-06-29,4958.0
2015-06-26,5081.0
2015-06-25,5112.0
2015-06-24,5122.0
2015-06-23,5160.0
2015-06-22,5154.0
2015-06-19,5117.0
2015-06-18,5133.0
2015-06-17,5065.0
2015-06-16,5056.0
2015-06-15,5030.0
2015-06-12,5051.0
2015-06-11,5083.0
2015-06-10,5077.0
2015-06-09,5014.0
2015-06-08,5022.0
2015-06-05,5068.0
2015-06-04,5059.0
2015-06-03,5099.0
2015-06-02,5077.0
2015-06-01,5083.0
2015-05-29,5070.0
2015-05-28,5098.0
2015-05-27,5107.0
2015-05-26,5033.0
2015-05-22,5089.0
2015-05-21,5091.0
2015-05-20,5072.0
2015-05-19,5070.0
2015-05-18,5078.0
2015-05-15,5048.0
2015-05-14,5051.0
2015-05-13,4982.0
2015-05-12,4976.0
2015-05-11,4994.0
2015-05-08,5004.0
2015-05-07,4946.0
2015-05-06,4920.0
2015-05-05,4939.0
2015-05-04,5017.0
2015-05-01,5005.0
2015-04-30,4941.0
2015-04-29,5024.0
2015-04-28,5055.0
2015-04-27,5060.0
2015-04-24,5092.0
2015-04-23,5056.0
2015-04-22,5035.0
2015-04-21,5014.0
2015-04-20,4995.0
2015-04-17,4932.0
2015-04-16,5008.0
2015-04-15,5011.0
2015-04-14,4977.0
2015-04-13,4988.0
2015-04-10,4996.0
2015-04-09,4975.0
2015-04-08,4951.0
2015-04-07,4910.0
2015-04-06,4917.0
2015-04-02,4887.0
2015-04-01,4880.0
2015-03-31,4901.0
2015-03-30,4947.0
2015-03-27,4891.0
2015-03-26,4863.0
2015-03-25,4877.0
2015-03-24,4995.0
2015-03-23,5011.0
2015-03-20,5026.0
2015-03-19,4992.0
2015-03-18,4983.0
2015-03-17,4937.0
2015-03-16,4930.0
2015-03-13,4872.0
2015-03-12,4893.0
2015-03-11,4850.0
2015-03-10,4860.0
2015-03-09,4942.0
2015-03-06,4927.0
2015-03-05,4983.0
2015-03-04,4967.0
2015-03-03,4980.0
2015-03-02,5008.0
2015-02-27,4964.0
2015-02-26,4988.0
2015-02-25,4967.0
2015-02-24,4968.0
2015-02-23,4961.0
2015-02-20,4956.0
2015-02-19,4925.0
2015-02-18,4906.0
2015-02-17,4899.0
2015-02-13,4894.0
2015-02-12,4858.0
2015-02-11,4801.0
2015-02-10,4788.0
2015-02-09,4726.0
2015-02-06,4744.0
2015-02-05,4765.0
2015-02-04,4717.0
2015-02-03,4728.0
2015-02-02,4677.0
2015-01-30,4635.0
2015-01-29,4683.0
2015-01-28,4638.0
2015-01-27,4682.0
2015-01-26,4772.0
2015-01-23,4758.0
2015-01-22,4750.0
2015-01-21,4667.0
2015-01-20,4655.0
2015-01-16,4634.0
2015-01-15,4571.0
2015-01-14,4639.0
2015-01-13,4662.0
2015-01-12,4665.0
2015-01-09,4704.0
2015-01-08,4736.0
2015-01-07,4650.0
2015-01-06,4593.0
2015-01-05,4653.0
2015-01-02,4727.0
2014-12-31,4736.0
2014-12-30,4777.0
2014-12-29,4807.0
2014-12-26,4807.0
2014-12-24,4773.0
2014-12-23,4798.0
2014-12-22,4782.0
2014-12-19,4782.0
2014-12-18,4748.0
2014-12-17,4652.0
2014-12-16,4645.0
2014-12-15,4691.0
2014-12-12,4708.0
2014-12-11,4760.0
2014-12-10,4684.0
2014-12-09,4766.0
2014-12-08,4741.0
2014-12-05,4781.0
2014-12-04,4769.0
2014-12-03,4774.0
2014-12-02,4756.0
2014-12-01,4727.0
2014-11-28,4792.0
2014-11-27,4787.0
2014-11-26,4787.0
2014-11-25,4758.0
2014-11-24,4755.0
2014-11-21,4713.0
2014-11-20,4702.0
2014-11-19,4676.0
2014-11-18,4702.0
2014-11-17,4671.0
2014-11-14,4689.0
2014-11-13,4680.0
2014-11-12,4675.0
2014-11-11,4661.0
2014-11-10,4652.0
2014-11-07,4633.0
2014-11-06,4638.0
2014-11-05,4621.0
2014-11-04,4624.0
2014-11-03,4639.0
2014-10-31,4631.0
2014-10-30,4566.0
2014-10-29,4549.0
2014-10-28,4564.0
2014-10-27,4486.0
2014-10-24,4484.0
2014-10-23,4453.0
2014-10-22,4383.0
2014-10-21,4419.0
2014-10-20,4316.0
2014-10-17,4258.0
2014-10-16,4217.0
2014-10-15,4215.0
2014-10-14,4227.0
2014-10-13,4214.0
2014-10-10,4276.0
2014-10-09,4378.0
2014-10-08,4469.0
2014-10-07,4385.0
2014-10-06,4455.0
2014-10-03,4476.0
2014-10-02,4430.0
2014-10-01,4422.0
2014-09-30,4493.0
2014-09-29,4506.0
2014-09-26,4512.0
2014-09-25,4467.0
2014-09-24,4555.0
2014-09-23,4509.0
2014-09-22,4528.0
2014-09-19,4580.0
2014-09-18,4593.0
2014-09-17,4562.0
2014-09-16,4553.0
2014-09-15,4519.0
2014-09-12,4568.0
2014-09-11,4592.0
2014-09-10,4587.0
2014-09-09,4552.0
2014-09-08,4592.0
2014-09-05,4583.0
2014-09-04,4562.0
2014-09-03,4573.0
2014-09-02,4598.0
2014-08-29,4580.0
2014-08-28,4558.0
2014-08-27,4570.0
2014-08-26,4571.0
2014-08-25,4557.0
2014-08-22,4539.0
2014-08-21,4532.0
2014-08-20,4526.0
2014-08-19,4528.0
2014-08-18,4508.0
2014-08-15,4465.0
2014-08-14,4453.0
2014-08-13,4434.0
2014-08-12,4389.0
2014-08-11,4401.0
2014-08-08,4371.0
2014-08-07,4335.0
2014-08-06,4355.0
2014-08-05,4353.0
2014-08-04,4384.0
2014-08-01,4353.0
2014-07-31,4370.0
2014-07-30,4463.0
2014-07-29,4443.0
2014-07-28,4445.0
2014-07-25,4450.0
2014-07-24,4472.0
2014-07-23,4474.0
2014-07-22,4456.0
2014-07-21,4425.0
2014-07-18,4432.0
2014-07-17,4363.0
2014-07-16,4426.0
2014-07-15,4416.0
2014-07-14,4440.0
2014-07-11,4415.0
2014-07-10,4396.0
2014-07-09,4419.0
2014-07-08,4391.0
2014-07-07,4452.0
2014-07-03,4486.0
2014-07-02,4458.0
2014-07-01,4459.0
2014-06-30,4408.0
2014-06-27,4398.0
2014-06-26,4379.0
2014-06-25,4380.0
2014-06-24,4350.0
2014-06-23,4369.0
2014-06-20,4368.0
2014-06-19,4359.0
2014-06-18,4363.0
2014-06-17,4337.0
2014-06-16,4321.0
2014-06-13,4311.0
2014-06-12,4298.0
2014-06-11,4332.0
2014-06-10,4338.0
2014-06-09,4336.0
2014-06-06,4321.0
2014-06-05,4296.0
2014-06-04,4252.0
2014-06-03,4234.0
2014-06-02,4237.0
2014-05-30,4243.0
2014-05-29,4248.0
2014-05-28,4225.0
2014-05-27,4237.0
2014-05-23,4186.0
2014-05-22,4154.0
2014-05-21,4132.0
2014-05-20,4097.0
2014-05-19,4126.0
2014-05-16,4091.0
2014-05-15,4069.0
2014-05-14,4101.0
2014-05-13,4130.0
2014-05-12,4144.0
2014-05-09,4072.0
2014-05-08,4052.0
2014-05-07,4068.0
2014-05-06,4081.0
2014-05-05,4138.0
2014-05-02,4124.0
2014-05-01,4127.0
2014-04-30,4115.0
2014-04-29,4104.0
