Date,Bid High,Ask High,Bid Low,Ask Low,Bid Average,Ask Average,6 Month Gold Lease Rates (%PA)
2017-10-31,915.2,938.4,907.74,932.0,911.08,935.42,
2017-10-30,908.7,932.5,902.0,927.5,904.72,929.7,
2017-10-27,910.0,932.4,901.05,926.9,905.87,929.6,
2017-10-26,918.8,942.0,910.24,931.6,914.86,937.68,
2017-10-25,913.0,938.75,905.55,924.9,909.46,933.64,
2017-10-24,918.85,945.0,913.3,935.3,916.27,940.34,
2017-10-23,912.5,934.8,905.1,929.0,908.48,931.61,
2017-10-20,915.0,939.75,909.0,931.7,912.09,935.21,
2017-10-19,915.7,937.5,905.74,930.3,910.75,933.26,
2017-10-18,925.9,949.85,914.74,938.5,921.22,945.1,
2017-10-17,924.1,948.9,918.24,941.4,920.57,945.34,
2017-10-16,936.6,961.5,928.4,953.7,932.26,956.98,
2017-10-13,929.9,952.25,924.24,948.4,927.47,950.24,
2017-10-12,928.4,950.6,920.5,945.1,923.52,948.57,
2017-10-11,925.0,946.8,917.8,942.3,921.98,944.04,
2017-10-10,916.0,939.4,905.24,928.3,910.16,934.06,
2017-10-09,912.3,936.25,901.75,928.5,907.63,931.17,
2017-10-06,909.1,930.75,901.5,926.0,905.14,928.58,
2017-10-05,908.6,930.15,900.65,926.0,903.57,927.77,
2017-10-04,908.7,932.3,903.3,924.2,906.1,929.0,
2017-10-03,905.3,929.25,899.9,923.8,902.91,926.24,
2017-10-02,903.8,927.8,898.8,921.9,901.83,925.09,
2017-09-29,915.2,939.75,909.9,932.2,913.29,936.22,
2017-09-28,913.2,937.25,906.24,928.0,909.77,931.94,
2017-09-27,919.9,944.5,909.7,938.7,914.45,941.63,
2017-09-26,935.0,961.35,926.0,948.6,931.33,954.68,
2017-09-25,924.3,949.0,920.0,942.4,922.55,945.93,
2017-09-22,934.2,959.02,929.75,949.6,931.4,955.41,
2017-09-21,934.0,959.35,926.49,951.1,930.82,953.78,
2017-09-20,946.15,970.7,940.49,963.8,943.89,968.01,
2017-09-19,953.2,975.25,946.2,969.6,949.61,972.4,
2017-09-18,960.8,984.65,953.49,978.1,956.6,981.76,
2017-09-15,977.2,1000.6,966.0,990.8,973.23,995.58,
2017-09-14,973.4,996.5,966.75,989.2,969.32,993.2,
2017-09-13,977.5,1004.25,972.24,996.3,975.33,1001.0,
2017-09-12,982.3,1004.5,973.25,997.6,977.83,1000.62,
2017-09-11,994.75,1019.5,989.25,1014.9,992.19,1017.16,
2017-09-08,1011.4,1034.6,1004.49,1029.0,1008.49,1031.95,
2017-09-07,997.3,1020.25,991.24,1015.2,992.88,1016.45,
2017-09-06,1002.2,1021.8,992.0,1018.4,996.44,1020.28,
2017-09-05,1000.7,1024.65,991.5,1014.5,997.14,1020.08,
2017-09-04,1004.1,1027.35,998.24,1022.0,1001.27,1024.33,
2017-09-01,988.0,1012.75,981.0,1007.7,985.14,1010.32,
2017-08-31,982.6,1005.5,972.25,997.0,977.21,1000.81,
2017-08-30,989.0,1015.5,982.1,1004.2,985.43,1009.2,
2017-08-29,990.3,1009.9,975.75,1001.0,980.69,1003.88,
2017-08-28,969.2,997.35,963.24,987.5,966.48,992.11,
2017-08-25,969.8,995.5,964.95,988.1,967.35,991.7,
2017-08-24,969.3,995.5,963.8,983.5,966.43,990.71,
2017-08-23,970.2,993.1,963.99,985.1,966.31,988.72,
2017-08-22,971.3,996.25,962.99,987.7,968.53,992.37,
2017-08-21,972.7,994.5,963.75,988.6,967.78,991.84,
2017-08-18,975.1,1000.7,964.49,987.7,968.32,993.51,
2017-08-17,973.3,995.75,965.8,986.3,968.56,990.93,
2017-08-16,956.2,978.0,949.49,971.0,952.55,975.48,
2017-08-15,955.99,982.5,948.24,973.65,951.39,976.55,
2017-08-14,970.75,999.0,961.7,981.2,968.57,992.3,
2017-08-11,972.15,997.75,968.1,994.7,970.1,996.59,
2017-08-10,965.5,992.5,958.5,983.4,962.69,987.85,
2017-08-09,965.5,991.9,959.9,984.5,963.0,987.38,
2017-08-08,960.9,985.5,953.0,977.8,957.02,982.51,
2017-08-07,953.4,980.0,947.0,969.0,950.61,973.49,
2017-08-04,956.8,980.75,949.35,973.8,953.46,977.55,
2017-08-03,941.0,964.75,933.6,957.7,936.57,960.8,
2017-08-02,937.3,959.4,930.4,953.1,933.77,955.88,
2017-08-01,933.7,957.5,927.0,950.1,930.14,953.66,
2017-07-31,928.5,951.75,923.95,947.4,926.09,949.38,
2017-07-28,919.1,942.7,909.5,936.8,916.45,938.81,
2017-07-27,923.3,948.65,917.9,940.7,920.29,945.24,
2017-07-26,918.4,943.0,910.0,934.2,914.67,938.11,
2017-07-25,925.6,950.8,916.75,940.4,920.92,945.73,
2017-07-24,925.5,949.8,920.0,945.85,922.56,948.15,
2017-07-21,919.75,942.75,911.95,936.7,916.21,940.49,
2017-07-20,913.2,937.0,906.7,928.2,909.36,933.0,
2017-07-19,918.6,941.5,909.9,931.7,913.42,938.12,
2017-07-18,918.0,939.75,910.75,933.6,914.7,936.64,
2017-07-17,914.75,938.25,910.99,934.4,912.62,936.47,
2017-07-14,898.9,922.5,891.95,916.1,895.36,919.47,
2017-07-13,909.8,935.5,904.24,928.05,906.48,932.02,
2017-07-12,896.7,920.25,891.99,912.9,893.89,917.09,
2017-07-11,892.3,918.5,883.24,905.9,887.46,912.53,
2017-07-10,900.3,923.05,889.24,912.6,894.68,916.71,
2017-07-07,902.3,922.5,893.75,914.5,897.01,918.1,
2017-07-06,901.7,923.25,898.8,918.5,900.59,920.59,
2017-07-05,906.5,929.25,893.5,922.0,902.25,924.63,
2017-07-04,901.0,923.75,893.74,916.8,897.68,920.25,
2017-07-03,918.2,937.9,908.9,929.9,913.94,933.87,
2017-06-30,913.3,938.0,907.74,930.8,910.44,933.61,
2017-06-29,916.3,939.45,907.99,930.9,911.83,935.25,
2017-06-28,912.0,938.5,906.99,929.3,909.78,933.12,
2017-06-27,915.5,935.2,904.5,928.4,909.45,932.48,
2017-06-26,920.0,943.0,908.5,931.5,916.5,938.62,
2017-06-23,921.0,948.75,913.5,935.7,916.8,940.68,
2017-06-22,924.0,950.0,917.49,939.7,920.5,944.53,
2017-06-21,914.9,938.4,908.3,931.3,912.12,935.02,
2017-06-20,919.75,942.75,913.0,935.4,916.29,940.12,
2017-06-19,918.3,943.85,910.75,937.8,915.36,940.83,
2017-06-16,914.05,939.45,910.45,933.6,912.86,936.04,
2017-06-15,931.1,954.5,923.5,943.5,927.75,950.2,
2017-06-14,923.8,948.7,916.0,938.5,920.02,943.32,
2017-06-13,936.3,961.5,931.0,954.0,934.79,957.11,
2017-06-12,936.5,958.25,930.0,949.7,933.24,953.86,
2017-06-09,930.9,953.85,924.85,947.9,926.96,949.95,
2017-06-08,940.0,961.5,932.49,957.7,936.43,959.56,
2017-06-07,952.1,975.5,944.6,969.5,948.98,972.0,
2017-06-06,952.0,975.0,942.24,964.4,947.07,969.63,
2017-06-05,945.1,966.5,937.5,961.7,941.62,964.25,
2017-06-02,923.1,946.5,916.65,940.4,920.08,943.09,
2017-06-01,938.7,962.0,933.0,956.0,936.95,958.9,
2017-05-31,933.15,956.75,927.3,949.3,930.7,954.11,
2017-05-30,947.2,973.05,936.25,958.5,943.19,967.48,
2017-05-29,952.4,976.85,944.65,969.1,948.59,972.24,
2017-05-26,945.1,969.25,936.25,960.0,939.52,964.0,
2017-05-25,940.2,964.41,935.41,958.5,938.41,961.36,
2017-05-24,937.7,958.2,928.5,953.4,932.48,955.58,
2017-05-23,940.4,962.6,933.6,958.2,937.63,960.7,
2017-05-22,930.5,959.0,922.7,948.5,927.39,952.1,
2017-05-19,925.3,948.75,916.62,942.1,922.16,946.24,
2017-05-18,938.9,962.0,925.45,951.3,931.62,956.16,
2017-05-17,935.1,958.0,928.3,952.55,931.42,954.57,
2017-05-16,924.7,950.25,919.75,941.4,922.48,946.66,
