Date,Value
2017-09-01,14465.3
2017-08-01,14412.3
2017-07-01,14397.7
2017-06-01,14373.7
2017-05-01,14371.6
2017-04-01,14309.2
2017-03-01,14276.6
2017-02-01,14234.0
2017-01-01,14168.7
2016-12-01,14044.8
2016-11-01,14041.2
2016-10-01,14059.6
2016-09-01,14057.5
2016-08-01,14040.7
2016-07-01,14034.6
2016-06-01,13996.8
2016-05-01,13959.8
2016-04-01,13921.6
2016-03-01,13846.9
2016-02-01,13802.6
2016-01-01,13816.8
2015-12-01,13801.5
2015-11-01,13795.8
2015-10-01,13780.7
2015-09-01,13719.0
2015-08-01,13689.4
2015-07-01,13655.1
2015-06-01,13637.6
2015-05-01,13594.2
2015-04-01,13514.3
2015-03-01,13429.8
2015-02-01,13417.1
2015-01-01,13345.9
2014-12-01,13357.8
2014-11-01,13320.1
2014-10-01,13255.9
2014-09-01,13181.5
2014-08-01,13135.8
2014-07-01,13070.2
2014-06-01,13025.8
2014-05-01,12953.4
2014-04-01,12888.0
2014-03-01,12828.2
2014-02-01,12731.5
2014-01-01,12643.4
2013-12-01,12576.3
2013-11-01,12539.1
2013-10-01,12487.6
2013-09-01,12503.1
2013-08-01,12456.6
2013-07-01,12401.8
2013-06-01,12395.7
2013-05-01,12345.2
2013-04-01,12266.8
2013-03-01,12272.5
2013-02-01,12274.6
2013-01-01,12230.7
2012-12-01,13018.8
2012-11-01,12689.0
2012-10-01,12536.6
2012-09-01,12426.9
2012-08-01,12329.4
2012-07-01,12310.0
2012-06-01,12339.0
2012-05-01,12314.5
2012-04-01,12310.5
2012-03-01,12261.4
2012-02-01,12201.4
2012-01-01,12107.1
2011-12-01,11988.6
2011-11-01,11895.5
2011-10-01,11890.7
2011-09-01,11873.0
2011-08-01,11888.0
2011-07-01,11869.0
2011-06-01,11798.8
2011-05-01,11744.0
2011-04-01,11712.1
2011-03-01,11691.7
2011-02-01,11664.6
2011-01-01,11600.4
2010-12-01,11514.5
2010-11-01,11407.2
2010-10-01,11355.5
2010-09-01,11301.3
2010-08-01,11304.7
2010-07-01,11253.9
2010-06-01,11231.2
2010-05-01,11220.6
2010-04-01,11141.1
2010-03-01,11060.3
2010-02-01,11023.0
2010-01-01,11041.1
2009-12-01,11040.4
2009-11-01,10996.3
2009-10-01,10945.4
2009-09-01,10956.5
2009-08-01,10923.6
2009-07-01,10921.6
2009-06-01,10965.3
2009-05-01,11088.5
2009-04-01,10903.9
2009-03-01,10828.5
2009-02-01,10837.9
2009-01-01,10912.4
2008-12-01,10860.1
2008-11-01,10958.6
2008-10-01,11007.7
2008-09-01,11013.4
2008-08-01,10990.1
2008-07-01,11087.9
2008-06-01,11217.4
2008-05-01,11442.0
2008-04-01,10869.2
2008-03-01,10884.5
2008-02-01,10828.0
2008-01-01,10785.5
2007-12-01,10726.6
2007-11-01,10652.5
2007-10-01,10609.7
2007-09-01,10598.3
2007-08-01,10530.6
2007-07-01,10515.3
2007-06-01,10476.0
2007-05-01,10466.5
2007-04-01,10442.3
2007-03-01,10424.2
2007-02-01,10356.6
