Date,Value
2017-07-01,3240.992
2017-04-01,3178.149
2017-01-01,3128.739
2016-10-01,3126.179
2016-07-01,3047.969
2016-04-01,3023.118
2016-01-01,3031.637
2015-10-01,3067.743
2015-07-01,3115.667
2015-04-01,3096.327
2015-01-01,3094.583
2014-10-01,2997.87
2014-07-01,2992.025
2014-04-01,2895.013
2014-01-01,2780.702
2013-10-01,2798.629
2013-07-01,2750.833
2013-04-01,2658.133
2013-01-01,2617.589
2012-10-01,2521.337
2012-07-01,2529.927
2012-04-01,2534.772
2012-01-01,2460.78
2011-10-01,2395.169
2011-07-01,2228.221
2011-04-01,2212.675
2011-01-01,2123.458
2010-10-01,2156.457
2010-07-01,2164.566
2010-04-01,2092.716
2010-01-01,1989.539
2009-10-01,1928.031
2009-07-01,1786.398
2009-04-01,1825.89
2009-01-01,1972.146
2008-10-01,2243.111
2008-07-01,2435.872
2008-04-01,2493.261
2008-01-01,2527.014
2007-10-01,2610.614
2007-07-01,2658.237
2007-04-01,2671.911
2007-01-01,2634.21
2006-10-01,2641.582
2006-07-01,2684.405
2006-04-01,2696.951
2006-01-01,2699.654
2005-10-01,2636.478
2005-07-01,2527.238
2005-04-01,2469.547
2005-01-01,2475.169
2004-10-01,2380.75
2004-07-01,2311.281
2004-04-01,2259.525
2004-01-01,2155.154
2003-10-01,2132.792
2003-07-01,2048.269
2003-04-01,1970.549
2003-01-01,1960.189
2002-10-01,1936.499
2002-07-01,1927.858
2002-04-01,1925.596
2002-01-01,1910.026
2001-10-01,1842.681
2001-07-01,1937.338
2001-04-01,1966.993
2001-01-01,1967.535
2000-10-01,2061.573
2000-07-01,2055.769
2000-04-01,2071.76
2000-01-01,1945.917
1999-10-01,1949.443
1999-07-01,1890.917
1999-04-01,1845.773
1999-01-01,1850.634
1998-10-01,1794.417
1998-07-01,1739.786
1998-04-01,1694.789
1998-01-01,1712.314
1997-10-01,1645.296
1997-07-01,1625.338
1997-04-01,1589.852
1997-01-01,1521.951
1996-10-01,1479.995
1996-07-01,1474.446
1996-04-01,1418.56
1996-01-01,1355.23
1995-10-01,1335.619
1995-07-01,1303.22
1995-04-01,1303.825
1995-01-01,1327.265
1994-10-01,1307.188
1994-07-01,1251.594
1994-04-01,1265.089
1994-01-01,1202.059
1993-10-01,1152.995
1993-07-01,1095.941
1993-04-01,1094.466
1993-01-01,1083.901
1992-10-01,1058.008
1992-07-01,1024.205
1992-04-01,1013.062
1992-01-01,956.774
1991-10-01,978.757
1991-07-01,947.472
1991-04-01,926.552
1991-01-01,924.608
1990-10-01,947.55
1990-07-01,1000.658
1990-04-01,1014.752
1990-01-01,1010.84
1989-10-01,995.948
1989-07-01,996.504
1989-04-01,1000.99
1989-01-01,1005.364
1988-10-01,962.751
1988-07-01,942.003
1988-04-01,934.526
1988-01-01,908.571
1987-10-01,946.454
1987-07-01,876.468
1987-04-01,874.587
1987-01-01,871.198
1986-10-01,842.063
1986-07-01,835.83
1986-04-01,855.234
1986-01-01,863.454
1985-10-01,859.549
1985-07-01,822.153
1985-04-01,827.04
1985-01-01,809.868
1984-10-01,831.742
1984-07-01,838.85
1984-04-01,818.897
1984-01-01,790.872
1983-10-01,718.497
1983-07-01,652.267
1983-04-01,613.777
1983-01-01,565.519
1982-10-01,549.246
1982-07-01,592.959
1982-04-01,593.622
1982-01-01,588.317
1981-10-01,643.395
1981-07-01,652.296
