Date,Value
2027-10-01,20644.9
2027-07-01,20550.4
2027-04-01,20455.5
2027-01-01,20360.5
2026-10-01,20266.5
2026-07-01,20173.0
2026-04-01,20079.9
2026-01-01,19987.1
2025-10-01,19894.8
2025-07-01,19802.9
2025-04-01,19711.2
2025-01-01,19619.7
2024-10-01,19528.3
2024-07-01,19437.1
2024-04-01,19346.0
2024-01-01,19255.3
2023-10-01,19165.0
2023-07-01,19075.0
2023-04-01,18985.6
2023-01-01,18896.6
2022-10-01,18808.3
2022-07-01,18720.3
2022-04-01,18632.9
2022-01-01,18546.1
2021-10-01,18460.0
2021-07-01,18374.7
2021-04-01,18290.1
2021-01-01,18206.3
2020-10-01,18123.5
2020-07-01,18041.5
2020-04-01,17960.3
2020-01-01,17879.8
2019-10-01,17800.1
2019-07-01,17720.9
2019-04-01,17642.6
2019-01-01,17565.2
2018-10-01,17488.8
2018-07-01,17413.0
2018-04-01,17338.5
2018-01-01,17265.5
2017-10-01,17194.2
2017-07-01,17125.5
2017-04-01,17058.2
2017-01-01,16992.2
2016-10-01,16927.7
2016-07-01,16864.3
2016-04-01,16801.3
2016-01-01,16738.0
2015-10-01,16673.3
2015-07-01,16607.0
2015-04-01,16540.2
2015-01-01,16473.1
2014-10-01,16405.7
2014-07-01,16338.6
2014-04-01,16272.1
2014-01-01,16206.5
2013-10-01,16142.8
2013-07-01,16079.7
2013-04-01,16017.8
2013-01-01,15957.4
2012-10-01,15898.6
2012-07-01,15841.8
2012-04-01,15787.0
2012-01-01,15734.5
2011-10-01,15684.9
2011-07-01,15637.2
2011-04-01,15591.9
2011-01-01,15549.0
2010-10-01,15508.2
2010-07-01,15473.4
2010-04-01,15439.9
2010-01-01,15406.4
2009-10-01,15372.0
2009-07-01,15333.2
2009-04-01,15291.1
2009-01-01,15244.8
2008-10-01,15190.4
2008-07-01,15130.9
2008-04-01,15068.3
2008-01-01,15003.7
2007-10-01,14939.7
2007-07-01,14876.2
2007-04-01,14811.9
2007-01-01,14746.7
2006-10-01,14681.3
2006-07-01,14614.4
2006-04-01,14545.4
2006-01-01,14473.7
2005-10-01,14397.4
2005-07-01,14315.9
2005-04-01,14231.7
2005-01-01,14145.5
2004-10-01,14057.8
2004-07-01,13969.9
2004-04-01,13882.0
2004-01-01,13794.4
2003-10-01,13709.6
2003-07-01,13626.3
2003-04-01,13543.2
2003-01-01,13459.6
2002-10-01,13374.6
2002-07-01,13289.5
2002-04-01,13202.2
2002-01-01,13111.9
2001-10-01,13016.9
2001-07-01,12915.4
2001-04-01,12809.8
2001-01-01,12700.4
2000-10-01,12586.2
2000-07-01,12469.5
2000-04-01,12350.9
2000-01-01,12231.1
1999-10-01,12113.0
1999-07-01,11993.5
1999-04-01,11873.8
1999-01-01,11754.2
1998-10-01,11634.8
1998-07-01,11515.1
1998-04-01,11396.9
1998-01-01,11281.0
1997-10-01,11169.0
1997-07-01,11060.5
1997-04-01,10955.9
1997-01-01,10855.7
1996-10-01,10761.4
1996-07-01,10673.7
1996-04-01,10590.2
1996-01-01,10510.0
1995-10-01,10432.5
1995-07-01,10355.9
1995-04-01,10280.7
1995-01-01,10206.8
1994-10-01,10131.7
1994-07-01,10058.3
1994-04-01,9986.3
1994-01-01,9916.0
1993-10-01,9848.4
1993-07-01,9782.3
1993-04-01,9717.6
1993-01-01,9654.5
1992-10-01,9592.3
1992-07-01,9532.5
1992-04-01,9474.0
1992-01-01,9416.5
1991-10-01,9360.1
1991-07-01,9304.7
1991-04-01,9249.2
1991-01-01,9193.0
1990-10-01,9134.8
1990-07-01,9074.4
1990-04-01,9012.6
1990-01-01,8949.5
1989-10-01,8884.5
1989-07-01,8818.5
1989-04-01,8751.7
1989-01-01,8684.4
1988-10-01,8617.6
1988-07-01,8550.7
1988-04-01,8483.4
1988-01-01,8415.8
1987-10-01,8347.8
1987-07-01,8279.0
1987-04-01,8209.6
1987-01-01,8139.8
1986-10-01,8069.3
1986-07-01,7998.2
1986-04-01,7926.9
1986-01-01,7855.3
1985-10-01,7783.9
1985-07-01,7711.7
1985-04-01,7639.8
1985-01-01,7568.6
1984-10-01,7498.6
1984-07-01,7430.1
1984-04-01,7363.3
1984-01-01,7298.3
1983-10-01,7236.3
1983-07-01,7177.2
1983-04-01,7119.8
1983-01-01,7063.6
1982-10-01,7007.9
1982-07-01,6950.1
1982-04-01,6893.3
1982-01-01,6838.4
1981-10-01,6785.0
1981-07-01,6738.4
1981-04-01,6695.0
1981-01-01,6654.6
1980-10-01,6619.4
1980-07-01,6585.8
1980-04-01,6552.1
1980-01-01,6516.8
1979-10-01,6475.1
1979-07-01,6428.5
1979-04-01,6379.1
1979-01-01,6327.7
1978-10-01,6274.4
1978-07-01,6220.3
1978-04-01,6166.0
1978-01-01,6112.2
1977-10-01,6061.3
1977-07-01,6011.7
1977-04-01,5963.2
1977-01-01,5915.7
1976-10-01,5869.1
1976-07-01,5824.3
1976-04-01,5779.9
1976-01-01,5735.7
1975-10-01,5691.0
1975-07-01,5645.0
1975-04-01,5598.3
1975-01-01,5550.8
1974-10-01,5501.7
1974-07-01,5451.4
1974-04-01,5401.3
1974-01-01,5352.0
1973-10-01,5304.9
1973-07-01,5260.7
1973-04-01,5218.2
1973-01-01,5177.2
1972-10-01,5138.4
1972-07-01,5100.1
1972-04-01,5062.4
1972-01-01,5025.3
1971-10-01,4987.3
1971-07-01,4950.6
1971-04-01,4914.2
1971-01-01,4878.1
1970-10-01,4842.6
1970-07-01,4807.5
1970-04-01,4771.5
1970-01-01,4734.2
1969-10-01,4694.3
1969-07-01,4651.2
1969-04-01,4606.2
1969-01-01,4559.5
1968-10-01,4510.9
1968-07-01,4461.3
1968-04-01,4411.0
1968-01-01,4360.5
1967-10-01,4311.1
1967-07-01,4261.3
1967-04-01,4211.8
1967-01-01,4162.8
1966-10-01,4114.5
1966-07-01,4067.7
1966-04-01,4022.0
1966-01-01,3977.3
1965-10-01,3934.3
1965-07-01,3891.9
1965-04-01,3850.3
1965-01-01,3809.3
1964-10-01,3768.2
1964-07-01,3727.8
1964-04-01,3687.9
1964-01-01,3648.4
1963-10-01,3609.3
1963-07-01,3569.6
1963-04-01,3530.2
1963-01-01,3491.4
1962-10-01,3453.0
1962-07-01,3416.4
1962-04-01,3380.8
1962-01-01,3346.4
1961-10-01,3313.8
1961-07-01,3281.9
1961-04-01,3250.7
1961-01-01,3219.8
1960-10-01,3188.3
1960-07-01,3156.8
1960-04-01,3125.7
1960-01-01,3095.1
1959-10-01,3065.4
1959-07-01,3036.9
1959-04-01,3009.0
1959-01-01,2981.8
1958-10-01,2955.4
1958-07-01,2928.6
1958-04-01,2902.3
1958-01-01,2876.5
1957-10-01,2850.9
1957-07-01,2826.5
1957-04-01,2803.1
1957-01-01,2780.9
1956-10-01,2760.5
1956-07-01,2741.4
1956-04-01,2723.2
1956-01-01,2705.7
1955-10-01,2688.4
1955-07-01,2671.6
1955-04-01,2655.1
1955-01-01,2638.8
1954-10-01,2622.4
1954-07-01,2607.1
1954-04-01,2591.4
1954-01-01,2574.6
1953-10-01,2556.0
1953-07-01,2534.3
1953-04-01,2510.5
1953-01-01,2484.4
1952-10-01,2454.8
1952-07-01,2422.6
1952-04-01,2389.3
1952-01-01,2355.5
1951-10-01,2323.0
1951-07-01,2291.6
1951-04-01,2260.9
1951-01-01,2231.0
1950-10-01,2202.6
1950-07-01,2174.7
1950-04-01,2147.3
1950-01-01,2120.1
1949-10-01,2092.6
1949-07-01,2065.2
1949-04-01,2038.0
1949-01-01,2011.1
