Date,Value
2027-10-01,4.65
2027-07-01,4.66
2027-04-01,4.67
2027-01-01,4.67
2026-10-01,4.68
2026-07-01,4.68
2026-04-01,4.68
2026-01-01,4.69
2025-10-01,4.69
2025-07-01,4.69
2025-04-01,4.69
2025-01-01,4.69
2024-10-01,4.69
2024-07-01,4.69
2024-04-01,4.7
2024-01-01,4.7
2023-10-01,4.7
2023-07-01,4.7
2023-04-01,4.7
2023-01-01,4.7
2022-10-01,4.71
2022-07-01,4.71
2022-04-01,4.71
2022-01-01,4.71
2021-10-01,4.71
2021-07-01,4.71
2021-04-01,4.71
2021-01-01,4.72
2020-10-01,4.72
2020-07-01,4.72
2020-04-01,4.72
2020-01-01,4.72
2019-10-01,4.72
2019-07-01,4.73
2019-04-01,4.73
2019-01-01,4.73
2018-10-01,4.73
2018-07-01,4.73
2018-04-01,4.73
2018-01-01,4.73
2017-10-01,4.74
2017-07-01,4.74
2017-04-01,4.74
2017-01-01,4.74
2016-10-01,4.74
2016-07-01,4.74
2016-04-01,4.75
2016-01-01,4.75
2015-10-01,4.76
2015-07-01,4.77
2015-04-01,4.79
2015-01-01,4.83
2014-10-01,4.88
2014-07-01,4.94
2014-04-01,4.99
2014-01-01,5.07
2013-10-01,5.18
2013-07-01,5.29
2013-04-01,5.4
2013-01-01,5.54
2012-10-01,5.68
2012-07-01,5.74
2012-04-01,5.81
2012-01-01,5.84
2011-10-01,5.88
2011-07-01,5.85
2011-04-01,5.84
2011-01-01,5.82
2010-10-01,5.78
2010-07-01,5.74
2010-04-01,5.71
2010-01-01,5.66
2009-10-01,5.51
2009-07-01,5.41
2009-04-01,5.3
2009-01-01,5.2
2008-10-01,5.11
2008-07-01,5.01
2008-04-01,4.98
2008-01-01,4.93
2007-10-01,4.93
2007-07-01,4.94
2007-04-01,4.94
2007-01-01,4.95
2006-10-01,4.95
2006-07-01,4.96
2006-04-01,4.97
2006-01-01,4.97
2005-10-01,4.98
2005-07-01,5.0
2005-04-01,5.0
