Date,Value
2017-07-01,5.495
2017-04-01,5.536
2017-01-01,5.603
2016-10-01,5.666
2016-07-01,5.676
2016-04-01,5.734
2016-01-01,5.855
2015-10-01,5.977
2015-07-01,6.002
2015-04-01,6.023
2015-01-01,5.99
2014-10-01,6.128
2014-07-01,6.217
2014-04-01,6.181
2014-01-01,6.246
2013-10-01,6.453
2013-07-01,6.545
2013-04-01,6.548
2013-01-01,6.652
2012-10-01,6.696
2012-07-01,6.907
2012-04-01,7.131
2012-01-01,7.209
2011-10-01,7.323
2011-07-01,7.503
2011-04-01,8.004
2011-01-01,8.126
2010-10-01,8.395
2010-07-01,8.639
2010-04-01,8.691
2010-01-01,8.645
2009-10-01,8.65
2009-07-01,8.671
2009-04-01,8.806
2009-01-01,9.109
2008-10-01,9.511
2008-07-01,10.398
2008-04-01,10.614
2008-01-01,10.598
2007-10-01,10.683
2007-07-01,10.616
2007-04-01,10.49
2007-01-01,10.401
2006-10-01,10.274
2006-07-01,10.166
2006-04-01,9.995
2006-01-01,9.882
2005-10-01,9.729
2005-07-01,9.611
2005-04-01,9.487
2005-01-01,9.353
2004-10-01,9.166
2004-07-01,9.149
2004-04-01,9.119
2004-01-01,9.091
2003-10-01,9.085
2003-07-01,8.989
2003-04-01,8.979
2003-01-01,9.095
2002-10-01,9.167
2002-07-01,9.243
2002-04-01,9.19
2002-01-01,9.093
2001-10-01,9.121
2001-07-01,9.134
2001-04-01,9.495
2001-01-01,9.533
2000-10-01,9.579
2000-07-01,9.406
2000-04-01,9.279
2000-01-01,9.014
1999-10-01,8.926
1999-07-01,8.843
1999-04-01,8.675
1999-01-01,8.611
1998-10-01,8.54
1998-07-01,8.493
1998-04-01,8.349
1998-01-01,8.26
1997-10-01,8.216
1997-07-01,8.129
1997-04-01,8.033
1997-01-01,7.798
1996-10-01,7.648
1996-07-01,7.394
1996-04-01,7.205
1996-01-01,7.038
1995-10-01,6.884
1995-07-01,6.735
1995-04-01,6.634
1995-01-01,6.57
1994-10-01,6.498
1994-07-01,6.387
1994-04-01,6.359
1994-01-01,6.282
1993-10-01,6.267
1993-07-01,6.309
1993-04-01,6.426
1993-01-01,6.526
1992-10-01,6.6
1992-07-01,6.755
1992-04-01,6.837
1992-01-01,6.905
1991-10-01,7.075
1991-07-01,7.18
1991-04-01,7.232
1991-01-01,7.27
1990-10-01,7.326
1990-07-01,7.395
1990-04-01,7.409
1990-01-01,7.379
1989-10-01,7.303
1989-07-01,7.328
1989-04-01,7.254
1989-01-01,7.049
1988-10-01,6.895
1988-07-01,6.77
1988-04-01,6.74
1988-01-01,6.711
1987-10-01,6.668
1987-07-01,6.576
1987-04-01,6.478
1987-01-01,6.474
1986-10-01,6.592
1986-07-01,6.806
1986-04-01,6.995
1986-01-01,7.206
1985-10-01,7.261
1985-07-01,7.371
1985-04-01,7.47
1985-01-01,7.534
1984-10-01,7.574
1984-07-01,7.546
1984-04-01,7.473
1984-01-01,7.411
1983-10-01,7.311
1983-07-01,7.235
1983-04-01,7.181
1983-01-01,7.19
1982-10-01,7.247
1982-07-01,7.448
1982-04-01,7.451
1982-01-01,7.4
1981-10-01,7.598
1981-07-01,7.639
1981-04-01,7.439
1981-01-01,7.546
1980-10-01,7.312
1980-07-01,7.162
1980-04-01,7.256
1980-01-01,7.206
1979-10-01,7.165
1979-07-01,7.056
1979-04-01,7.01
1979-01-01,7.026
1978-10-01,6.986
1978-07-01,6.858
1978-04-01,6.794
1978-01-01,6.582
1977-10-01,6.599
1977-07-01,6.584
1977-04-01,6.492
1977-01-01,6.402
1976-10-01,6.378
1976-07-01,6.331
1976-04-01,6.282
1976-01-01,6.278
1975-10-01,6.165
1975-07-01,6.024
1975-04-01,5.931
1975-01-01,5.887
1974-10-01,5.863
1974-07-01,5.788
1974-04-01,5.73
1974-01-01,5.635
1973-10-01,5.668
1973-07-01,5.575
1973-04-01,5.564
1973-01-01,5.483
1972-10-01,5.396
1972-07-01,5.369
1972-04-01,5.381
1972-01-01,5.313
1971-10-01,5.24
1971-07-01,5.23
1971-04-01,5.226
1971-01-01,5.238
1970-10-01,5.108
1970-07-01,5.186
1970-04-01,5.165
1970-01-01,5.123
1969-10-01,5.115
1969-07-01,5.113
1969-04-01,5.034
1969-01-01,4.994
1968-10-01,4.955
1968-07-01,4.969
1968-04-01,4.98
1968-01-01,4.929
1967-10-01,4.841
1967-07-01,4.828
1967-04-01,4.846
1967-01-01,4.884
1966-10-01,4.867
1966-07-01,4.799
1966-04-01,4.705
1966-01-01,4.697
1965-10-01,4.634
1965-07-01,4.579
1965-04-01,4.522
1965-01-01,4.466
1964-10-01,4.37
1964-07-01,4.391
1964-04-01,4.386
1964-01-01,4.353
1963-10-01,4.275
1963-07-01,4.252
1963-04-01,4.207
1963-01-01,4.185
1962-10-01,4.163
1962-07-01,4.162
1962-04-01,4.111
1962-01-01,4.087
1961-10-01,4.019
1961-07-01,3.962
1961-04-01,3.91
1961-01-01,3.857
1960-10-01,3.842
1960-07-01,3.875
1960-04-01,3.888
1960-01-01,3.883
1959-10-01,3.774
1959-07-01,3.711
1959-04-01,3.73
1959-01-01,3.668
