Date,Value
2017-11-01,2125.196
2017-10-25,2125.9526
2017-10-18,2120.4897
2017-10-11,2130.3705
2017-10-04,2131.7422
2017-09-27,2131.211
2017-09-20,2132.3824
2017-09-13,2116.5989
2017-09-06,2114.9825
2017-08-30,2113.256
2017-08-23,2115.1445
2017-08-16,2112.384
2017-08-09,2112.9089
2017-08-02,2111.6023
2017-07-26,2110.9842
2017-07-19,2106.4537
2017-07-12,2104.5284
2017-07-05,2102.407
2017-06-28,2102.1649
2017-06-21,2109.274
2017-06-14,2099.1266
2017-06-07,2100.5278
2017-05-31,2095.9169
2017-05-24,2099.0451
2017-05-17,2100.0697
2017-05-10,2097.6517
2017-05-03,2102.6863
2017-04-26,2099.8154
2017-04-19,2091.2472
2017-04-12,2092.7356
2017-04-05,2092.9367
2017-03-29,2086.1432
2017-03-22,2081.4337
2017-03-15,2089.106
2017-03-08,2081.092
2017-03-01,2096.1383
2017-02-22,2097.4384
2017-02-15,2099.6558
2017-02-08,2099.5861
2017-02-01,2098.2523
2017-01-25,2099.2252
2017-01-18,2101.0364
2017-01-11,2101.5579
2017-01-04,2096.7479
2016-12-28,2094.7126
2016-12-21,2096.9863
2016-12-14,2098.3146
2016-12-07,2102.9705
2016-11-30,2101.1006
2016-11-23,2101.9947
2016-11-16,2104.1169
2016-11-09,2102.7967
2016-11-02,2102.6929
2016-10-26,2103.754
2016-10-19,2099.6213
2016-10-12,2093.5402
2016-10-05,2091.6922
2016-09-28,2087.7616
2016-09-21,2087.2504
2016-09-14,2078.2858
2016-09-07,2077.9032
2016-08-31,2067.3796
2016-08-24,2065.804
2016-08-17,2062.9825
2016-08-10,2063.7358
2016-08-03,2063.3088
2016-07-27,2066.5209
2016-07-20,2068.2977
2016-07-13,2071.7234
2016-07-06,2070.705
2016-06-29,2064.0173
2016-06-22,2057.2267
2016-06-15,2057.3919
2016-06-08,2060.1596
2016-06-01,2060.2031
2016-05-25,2060.5574
2016-05-18,2050.6052
2016-05-11,2053.5179
2016-05-04,2048.8735
2016-04-27,2044.4239
2016-04-20,2042.3207
2016-04-13,2037.2887
2016-04-06,2032.766
2016-03-30,2026.9707
2016-03-23,2025.8416
2016-03-16,2021.1084
2016-03-09,2017.9948
2016-03-02,2013.1827
2016-02-24,1984.344
2016-02-17,1984.2567
2016-02-10,1981.4325
2016-02-03,1988.5733
2016-01-27,1973.056
2016-01-20,1964.9354
2016-01-13,1953.2919
2016-01-06,1957.5423
2015-12-30,1956.5566
2015-12-23,1954.8514
2015-12-16,1955.7145
2015-12-09,1953.6956
2015-12-02,1952.5614
2015-11-25,1948.8007
2015-11-18,1945.8123
2015-11-11,1947.6347
2015-11-04,1932.1085
2015-10-28,1929.9545
2015-10-21,1925.3762
2015-10-14,1930.2806
2015-10-07,1924.0386
2015-09-30,1918.3156
2015-09-23,1911.6449
2015-09-16,1913.9974
2015-09-09,1910.4618
2015-09-02,1911.669
2015-08-26,1912.2761
2015-08-19,1903.077
2015-08-12,1898.9965
2015-08-05,1895.8099
